Title,Post date,Application Deadline,Issues,Institution(s),Other Organization(s),URL,Body,All terms
"Asst. Professor, Environmental Studies, Dickinson College",Jul 30 2010 - 1:51pm,"January 10, 2008",01/10/08,,,http://chronicle.com/jobs/id.php?id=0000540961-01&pg=s&cc=,"Dickinson College (PA) seeks applicants for a tenure-track appointment in our Environmental Studies Department at the Assistant Professor level in Environmental Health, commencing July 1, 2008. A Ph.D. in a discipline related to environmental health is required. He/she will be expected to initiate an active research agenda which will involve undergraduates, provide opportunities for service-learning, and build on our strong community-based research programs. The candidate will be expected to teach a section of our Introductory Environmental Science course, offer new intermediate-level courses in environmental health (including, for example, health effects of exposure, distribution of environmentally induced disease, risk assessment, and policy), and teach a senior seminar on a topic of his/her choice on a rotating schedule with other faculty.  Applications due February 15, 2008.",Jobs & Internships
"Asst./Assoc. Professor - Environmental Health, Western Carolina U",Jul 30 2010 - 1:52pm,"January 10, 2008",01/10/08,,,http://www.higheredjobs.com/search/details.cfm?JobCode=175287430,"The Environmental Health Program in the School of Health Sciences at Western Carolina University invites applications for an assistant/associate professor, nine month, tenure-track position beginning August, 2008. Responsibilities include teaching undergraduate and graduate courses in environmental health sciences, advise students, and participate in professional service in an EHAC- accredited program. The successful candidate will be expected to conduct a program of research, service and teaching. Applications will be accepted until the position is filled.",Jobs & Internships
"10 Faculty Positions in Sustainable Energy, U Connecticut",Jul 30 2010 - 1:52pm,"January 10, 2008",01/10/08,,,http://chronicle.com/jobs/id.php?id=0000540355-01&pg=s&cc=,"The School of Engineering at the University of Connecticut invites applications and/or nominations for 10 tenure-track faculty positions that will form the core of an interdisciplinary, integrated team working in the strategic areas of fuel cells or other alternative energy technologies and applications. The team will comprise qualified faculty at all ranks: Assistant, Associate Professor and Full Professor. Qualified candidates may be considered for tenured positions.  This sustainable energy team will conduct research, education and outreach related to a new Eminent Faculty Initiative in Sustainable Energy established in 2007 at the University of Connecticut. The initiative is sustained by a permanent allocation of more than $2 million annually from the State of Connecticut supplemented by additional support from private industry. The Eminent Faculty Initiative will be led by a senior, internationally recognized researcher.  Applications will be reviewed until the positions are filled.",Jobs & Internships
"Outreach & Organizing Assoc. Manager, Center for American Progress",Jul 30 2010 - 1:52pm,"January 10, 2008",01/10/08,,,http://www.aashe.org/The%20original%20link%20is%20no%20longer%20available.,"The Center for American Progress is currently seeking an outreach and organizing associate.  S/he will work under the direction of the Issue Campaigns Manager to coordinate all aspects of Campus Progress' efforts to implement a national issue campaign on climate change and to advance campaigns on other issues. The occupant of the job also will work under the Communications and Outreach Manager to strengthen Campus Progress's outreach to students, student groups, student publications, faculty, national and regional organizations, and others in order to involve them in the work of Campus Progress and the Center for American Progress.",Jobs & Internships
"Dir., Enviro. Mission Initiatives & Rachel Carson Inst., Chatham U",Jul 30 2010 - 1:52pm,"January 17, 2008",1/17/08,,,http://chronicle.com/jobs/id.php?id=0000540740-01&pg=s&cc=,"Chatham University (PA) seeks a dynamic and experienced leader for its environmental mission and the Rachel Carson Institute. The candidate will be the leader of all university environmental initiatives, develop curriculum, and provide educational and co-curricular programs that will marshal university resources and interest in environmental issues by creating study sites abroad.  Candidates must have an earned doctorate in a relevant field, have a substantial record of at least five years as teacher, be a scholar and an advocate, and have proven administrative and fundraising skills. Expertise in and experience with international issues and developments is preferred. This is a twelve-month, renewable term appointment with teaching responsibilities and faculty rank.",Jobs & Internships
"Exec. Dir., OR Bio-Economy and Sustainable Technologies Center",Jul 30 2010 - 1:52pm,"January 17, 2008",1/17/08,,,http://www.sustainablebusiness.com/index.cfm/go/greendreamjobs.display/id/3044349,"The Oregon Bio-Economy and Sustainable Technologies Signature Research Center is seeking an Executive Director, who will be a permanent appointment based upon 2-year review by the Board.  The ED will be responsible for coordinating and implementing all activities and for leading the development and management of the center. Thirty percent of the successful candidates time will be spend working with Oregon University System employees on sustainability issues.   An ideal candidate would be a leader with a strong business background who is able to build effective collaboration across multiple campuses, disciplines and industries.  Deadline is February 15, 2008.",Jobs & Internships
"Dir., Ctr. For Environmental & Sustainability Education, Dickinson College",Jul 30 2010 - 1:52pm,"January 17, 2008",1/17/08,,,http://www.dickinson.edu/facjobs/detail.cfm?130,"Dickinson College (PA) seeks a Director for its new Center for Environmental and Sustainability Education. The Center Director will provide leadership for a major, interdisciplinary, initiative to make environmental and sustainability studies a defining characteristic of the College's academic program. The Director's responsibilities will include assisting in the creation of new courses and enhancing existing offerings, conducting faculty development workshops/projects, creating and supporting student research and academic internships, integrating the College's extensive co-curricular programs with the curriculum, and administering an Environmental Education Fund in support of these activities. The Director will also teach one or two courses per year in an area of his/her environmental expertise. The Center Director reports directly to the Provost. Review of applicants will begin March 15, 2008.",Jobs & Internships
"Sustainability Manager, West Coast Region, ARAMARK",Jul 30 2010 - 1:52pm,"January 17, 2008",1/17/08,,,http://aramark.taleo.net/servlets/CareerSection?art_ip_action=FlowDispatcher&ctx=1&flowTypeNo=13&pageSeq=2&art_servlet_language=en&reqNo=460097&csNo=2,"ARAMARK is seeking candidates for the position of Sustainability Manager.  Responsibilities include overseeing the Higher Education accounts in the West Coast Region and leading sustainability initiatives for Campus Dining that are in agreement with ARAMARK and respective college and university goals.  The ideal candidate would be able to execute new programs or practices in a dynamic campus environment. The position will be part of ARAMARK's national network of sustainability professionals.   Knowledge and passion for sustainability and/or LEED Accreditation is required.  A bachelor's degree in Marketing, Business Management, Architectural or Project Management is preferred.",Jobs & Internships
"Managing Director, Sustainable Supply Chain Management, U Oregon",Jul 30 2010 - 1:52pm,"January 17, 2008",1/17/08,,,http://www.aashe.org/The%20original%20link%20is%20no%20longer%20available.,"The Sustainable Supply Chain Management Center in the Lundquist College of Business at the University of Oregon is seeking a Managing Director.  This person will be accountable for the center's budget and staffing, support preparation of grant applications, development, administration, and coordination of student-based activities at the graduate and undergraduate level, including orientations, experiential learning, and guest speakers.  The Director will be expected to mentor graduate and undergraduate students and identify internship and career opportunities in cooperation with the LCB Career Services.  Review of Applications will begin on February 15, 2008, and will continue until the position is filled.",Jobs & Internships
"Green Campus Intern, Northwest SEED",Jul 30 2010 - 1:52pm,"January 17, 2008",1/17/08,,,http://www.nwgreencampus.org/news-1/internship-opportunities,"The Northwest Sustainable Energy for Economic Development invites applications for a Green Campus intern.  Intern responsibilities include building coalitions and partnerships with other students and student groups, developing campus leaders for organizing and outreach efforts, developing support with faculty, the administration, and facilities management, and to keep in regular contact with the Northwest SEED staff.  An ideal candidate is a student who is active in making his/her own college or university a better steward of the environment and is interested in renewable energy policy.  The position requires 5 hours per week and offers a small stipend.",Jobs & Internships
"Assoc./Assist. Prof., Environmental Studies and Sustainability, Drew U",Jul 30 2010 - 1:52pm,"January 17, 2008",1/17/08,,,http://chronicle.com/jobs/id.php?id=0000542832-01&pg=s&cc=,"Drew University (NJ) seeks applicants for the new tenure-track position of Associate or Assistant Professor to help build a new interdisciplinary major in Environmental Studies and Sustainability. Candidates should have expertise in GIS and in environmental geology, physical geography, or a closely related field; the area of specialization must relate to environmental issues. The department of appointment will depend on the individual's specialty. This faculty member would teach GIS, environmental geography or geology, and (with others) gateway and core courses for the new major. In addition, s/he would help other faculty integrate GIS into their courses and research. A Ph.D. and a high quality record of teaching and research are required.  Applications received by February 1, 2008 will receive the highest consideration.",Jobs & Internships
"Faculty, Environmental Change and Political Economy, Tufts U",Jul 30 2010 - 1:52pm,"January 17, 2008",1/17/08,,,http://chronicle.com/jobs/id.php?id=0000543325-01&pg=s&cc=,"The Feinstein International Center, within the Friedman School of Nutrition Science and Policy, at Tufts University (MA), is seeking to enhance its faculty complement in the realm of environmental change and political economy.  The candidate will develop a coherent long term action-research program (alone or in partnership with other FIC faculty) exploring the two-way relationship between emerging risks and vulnerabilities related to climate and environmental change, and the political economy of conflict and violence among communities affected by such change. The focus of the research should be primarily but not exclusively, African. The successful candidate is expected to be active in raising funds for their research program and the activities of the Center.  The projected starting date is July 1, 2008. Review of applications will begin in mid-March and will continue until the position is filled.",Jobs & Internships
"End. Chair in Sustainable Materials and Energy Sys., Wichita State U",Jul 30 2010 - 1:52pm,"January 17, 2008",1/17/08,,,http://chronicle.com/jobs/id.php?id=0000542286-01&pg=s&cc=,"Wichita State University (KS) seeks a Professor in the field of Sustainable Materials and Energy Systems.  The successful candidate is expected to provide leadership in building a research program with an interdisciplinary team of faculty of complementary interests at the University. Required qualifications include an earned Ph.D. in Engineering or a discipline that interacts with Engineering to investigate sustainable materials and energy systems, a demonstrated record of collaborative research with investigations in the social sciences, economics, or management fields, a proven ability to generate substantial external research funding and attract graduate students, and a demonstrated ability to teach effectively. The review of applications will begin on February 15th, 2008 and will continue until the position is filled.",Jobs & Internships
"Postdoc. Research Fellow, Ctr for Sustainable Energy, Columbia U",Jul 30 2010 - 1:52pm,"January 17, 2008",1/17/08,,,http://chronicle.com/jobs/id.php?id=0000543609-01&pg=s&cc=,"The Lenfest Center for Sustainable Energy at Columbia University (NY) is seeking a Postdoctoral Research Fellow to research a reduced-emissions cement kiln. The position will report to the Director for Sustainable Energy at The Earth Institute.  The candidate must have a Ph.D. in environmental engineering, chemical engineering, process engineering, or a related field and expertise in one or more of the following areas: carbon sequestration, cement production, reaction engineering, energy conversion systems, alternative energy, synthesis of engineered particles, and multiphase flow systems.  Screening of applications will begin immediately and will continue until the position is filled.",Jobs & Internships
"Director of Sustainability, University of Notre Dame",Jul 30 2010 - 1:52pm,"January 17, 2008",1/17/08,,,https://jobs.nd.edu/applicants/jsp/shared/frameset/Frameset.jsp?time=1200600628145,"The University of Notre Dame (IN) seeks to hire a Director of Sustainability.  Reporting to the Vice President of Operations, the Director of Sustainability will build institutional learning capacities to support continuous improvement in building design and operations, landscaping, procurement, energy, and water conservation, waste disposal and recycling, and service provision.  Specific duties include creating a strategy to integrate sustainable principles into the operational functions of the University, interact with departments to enhance existing sustainability efforts, coordinate cross-functional efforts, and brainstorm new initiatives.  Related Bachelor's and Master's degrees required.  The position will be open until filled.",Jobs & Internships
"Sustainability Coordination Manager, Rider U",Jul 30 2010 - 1:52pm,"January 24, 2008",1/24/08,,,http://www.higheredjobs.com/search/details.cfm?JobCode=175291182,"Rider University (NJ) is seeking a Sustainability Coordination Manager to develop and lead a campus-wide sustainability program. The individual will coordinate academic, facilities, and student sustainability activities and will work with the Energy and Sustainability Steering Committee to efficiently implement projects and future planning within the context of the University's Strategic Plan.  The candidate must have a Bachelor's degree, and preference will be given to those with sustainability-related fields of study or other professional/technical credentials related to sustainability.  The position is open until filled.",Jobs & Internships
"Program Dir., Environmental Leadership Prgm, Duke U",Jul 30 2010 - 1:52pm,"January 24, 2008",1/24/08,,,http://www.nicholas.duke.edu/del/program_dir.pdf,"The Duke University (NC) Environmental Leadership Program is seeking a Program Director to plan, develop, coordinate, implement, and evaluate the DEL Program curriculum, including executive education courses, certificate programs, the DEL-Master of Environmental Management, and community outreach.  The candidate will assist in research and development of new program initiatives.  All applicants must have at least a bachelor's degree; however, a master's degree is preferred.  Applications are due February 15, 2008.",Jobs & Internships
"Web Developer, AASHE",Jul 30 2010 - 1:52pm,"January 24, 2008",1/24/08,,,http://www.aashe.org/highlights/it_jobs.php#developer,"AASHE is currently seeking a Web Developer to support the IT Director in delivering online services requested by AASHE staff, members, and partners.  Duties include developing and implementing software components in a web-based environment and carrying out the design and implementation of a multi-site content management system.  The candidate will work directly with AASHE's Director of IT.  A Bachelor's of Science in Computer Science is required, and familiarity and capability in more than one programming language is preferred.  The position is open until filled.",Jobs & Internships
"Data Manager, AASHE",Jul 30 2010 - 1:52pm,"January 24, 2008",1/24/08,,,http://www.aashe.org/highlights/it_jobs.php#manager,"AASHE seeks an entry-level data manager to support the IT Director in delivering data management solutions requested by AASHE staff, members, and partners.  Other duties include developing and implementing database architecture in a web-based environment, performing limited project management on small-scope projects, and developing and implementing web forms and reports requested by AASHE staff, members, and the AASHE Board.  The candidate will report to the AASHE Director of IT.  A minimum of a Bachelor's of Science in Computer Science, Software Engineering or similar curriculum with a software development emphasis is required, and familiarity and capability in more than one programming language preferred.  The candidate will work directly with AASHE's Director of IT.  The position is open until filled.",Jobs & Internships
"Asst./Assoc. Prof., Environment, Policy, and Sustainable Energy, U Waterloo",Jul 30 2010 - 1:52pm,"January 24, 2008",1/24/08,,,http://web.mit.edu/mit_energy/resources/jobs/pdfs/Univ%20Waterloo%20-%20Assoc%20Professor.pdf,"The University of Waterloo (ON) invites applications for a tenure-track position in environment, policy, and sustainable energy at the level of Assistant Professor or Associate Professor.  Applicants should have research expertise in the business, political, behavioral and/or built-environment aspects of sustainable energy.  Applicants should also have an interest in placing their research expertise and activities within a broader interdisciplinary setting that examines the policy, planning and governance of energy systems in an integrated manner. Applicants should have a Ph.D., a demonstrated record of excellence in research in environment, policy and sustainable energy, and the potential to develop a nationally- and internationally-recognized interdisciplinary research program.  Applications will begin to be reviewed on March 1, 2008, and will continue to be accepted until the position is filled.",Jobs & Internships
"Visiting Prof in the Enviro. and Humanities, Princeton U",Jul 30 2010 - 1:52pm,"January 24, 2008",1/24/08,,,http://chronicle.com/jobs/id.php?id=0000545061-01&pg=s&cc=,"Princeton University (NJ) seeks to appoint a distinguished humanist for the 2008-2009 academic year as the Currie C. and Thomas A. Barron Visiting Professor in the Environment and Humanities. Applicants should be accomplished scholars who have exceptional records of publication and teaching and whose interests lie at the intersection of environmental issues and the humanities. Of particular interest are scholars with expertise and interests related to key environmental concerns including conservation, energy efficiency, clean air and water, global warming, species diversity, sustainable development, wilderness preservation, or environmental justice.  The visitor will have a shared appointment in the Princeton Environmental Institute and a supporting department at Princeton University. The visiting appointment will be for a term of one academic year. The candidate will be expected to teach one course, advise two to three students on independent projects, and give a public presentation to the University community. Remaining duty time may be devoted to research and writing.  Applications due March 31, 2008.",Jobs & Internships
"Dean, Faculty of Environment, Earth, and Resources, U Manitoba",Jul 30 2010 - 1:52pm,"January 24, 2008",1/24/08,,,http://chronicle.com/jobs/id.php?id=0000544989-01&pg=s&cc=,"The University of Manitoba is seeking a Dean for the Clayton H. Riddell Faculty of Environment, Earth, and Resources.  The successful candidate must hold a PhD in a relevant area and have relevant administrative and research experience and exceptional leadership qualities. Candidates must qualify for a tenured academic appointment at the rank of Professor. The appointment is expected to commence July 1, 2008 and is normally for a term of five years. Applications and nominations will be considered commencing February 25, 2008, continuing until the position is filled.",Jobs & Internships
"Dept. Chair, Urban Planning and Enviro. Policy, Texas Southern U",Jul 30 2010 - 1:52pm,"January 24, 2008",1/24/08,,,http://chronicle.com/jobs/id.php?id=0000544484-01&pg=s&cc=,"Texas Southern University is seeking a Chair for the Urban Planning and Environmental Policy Department.  Under the general guidance of the Dean of the School of Public Affairs, the Department Chair will be responsible for the administrative and academic functions of the department, which offers Master's and Doctoral degrees in Urban Planning and Environmental Policy. The Department Chair will teach graduate level courses at the Master's and Doctoral levels, lead the faculty in continued curricular development, engage in and promote active research, promote active collaboration in community projects, and lead initiatives to build the academic program and to secure necessary accreditations.  An earned doctorate in planning or environmental policy is required. The successful applicant should be eligible for a tenure track appointment at the Associate Professor or Professor level. Certification through the American Institute of Certified Planners preferred.",Jobs & Internships
"Academic Specialist, Sustainable Ag and Food Systems, Michigan State U",Jul 30 2010 - 1:52pm,"January 24, 2008",1/24/08,,,http://www.hr.msu.edu/CMShrsite/Templates/ContentPage.aspx?NRMODE=Published&NRORIGINALURL=%2fHRsite%2fHiringPostings%2fFaculty%2fPostings%2fJobPostings%2fFTAcaStaffPosting%2ehtm&NRNODEGUID=%7b72E1D495-F9C4-4C94-A6FC-5F8742FAC1FA%7d&NRCACHEHINT=NoModifyGue,"Michigan State University is seeking an Academic Specialist for the Crop and Soil Sciences Department.  This Academic Specialist will oversee development and implementation of undergraduate and graduate specializations in Sustainable Agriculture and Food Systems.  The appointment will initially be for a 3-yr term, with an opportunity for subsequent annual renewal. A Master's of Science in a relevant field and experience and/or interest in sustainable agriculture and food systems are required.  Applications due February 15, 2008.",Jobs & Internships
"Asst./Assoc. Prof., Sustainable Architecture, NC State",Jul 30 2010 - 1:52pm,"January 24, 2008",1/24/08,,,https://jobs.ncsu.edu/applicants/jsp/shared/frameset/Frameset.jsp?time=1201288097119,"The PhD in Design Program and the School of Architecture in the College of Design of North Carolina State University jointly seek a full-time, tenure track faculty member with a research focus on Building Energy.  Teaching responsibilities will include lectures and seminars on issues of sustainability in buildings, with a particular emphasis on energy in buildings, and supervision of M. Arch. and Ph.D. students with independent studies focusing on sustainability.  Candidates with appropriate qualifications will also have the opportunity to teach architectural design studios related to sustainability in architecture.  Research responsibilities will include conducting building energy research and advising PhD students with dissertation research in sustainability in buildings, with a particular emphasis on energy in buildings.  Candidates must have a Ph.D., with either a dissertation related to building energy research or an established track record of rigorous research related to building energy.  The successful candidate must also have at least an undergraduate degree in architecture.  Applications due February 11, 2008.",Jobs & Internships
"Campus Sustainability Coordinator, Drew U",Jul 30 2010 - 1:52pm,"February 2, 2008",1/31/08,,,http://www.higheredjobs.com/search/details.cfm?JobCode=175292850,"Drew University (NJ) seeks a full-time Campus Sustainability Coordinator who will work under the direction of the University Sustainability Committee and with various campus groups to help create, develop and enhance sustainability programs across the University. Responsibilities will include educating the community about sustainability issues, developing and maintaining the Campus Sustainability Website, and submitting an annual report and assessment of sustainability efforts on campus.  Applicants must have at least a BA or BS, and strong written, verbal, networking, and computer skills.  Preference will be given to candidates with a degree in Environmental Studies or a related field. Fluency in Spanish is also desirable.  Review of applications will begin on February 25, 2008 and will remain open until the position is filled.",Jobs & Internships
"Emerging Green Buildings Coordinator, USGBC",Jul 30 2010 - 1:52pm,"February 2, 2008",1/31/08,,,http://www.usgbc.org/DisplayPage.aspx?CMSPageID=63&#EGBCoord,"The U.S. Green Building Council is seeking an Emerging Green Buildings Coordinator to coordinate and facilitate all aspects of USGBC’s Emerging Green Builders program. This full-time position involves outreach to university groups as well as to USGBC chapters to cultivate, educate, and activate the future leaders of the green building movement and USGBC. The candidate must have a bachelor's degree and a minimum of three years relationship management experience.",Jobs & Internships
"Asst./Assoc. Prof., Environmental Studies, Elon U",Jul 30 2010 - 1:52pm,"February 2, 2008",1/31/08,,,http://www.higheredjobs.com/search/details.cfm?JobCode=175291537,"Elon University (NC) invites applicants for a tenure-track Assistant or Associate Professor position in the interdisciplinary Environmental Studies Program to begin in August 2008.  Applicants should have a Ph.D. in any environmentally-related field, with a broad and integrated perspective toward environmental studies. The successful applicant will be the Associate Coordinator of Environmental Studies, direct the Bachelor's of Arts degree option in the Environmental Studies Program, and teach in the program. Teaching will include survey level courses, environmentally-focused upper-level courses supporting the Environmental Studies major, and courses in Elon's General Studies Program.  Applications are due March 15, 2008.",Jobs & Internships
"Assoc./Assist. Prof., Environmental Studies and Sustainability, Drew U",Jul 30 2010 - 1:52pm,"February 2, 2008",1/31/08,,,http://chronicle.com/jobs/id.php?id=0000542832-01&pg=s&cc=,"Drew University seeks applicants for the new tenure-track position of Associate or Assistant Professor to help build a new interdisciplinary major in Environmental Studies and Sustainability. Candidates should have expertise in GIS and in environmental geology, physical geography, or a closely related field; the area of specialization must relate to environmental issues. The department of appointment will depend on the individual's specialty. This faculty member would teach GIS, environmental geography or geology, and (with others) gateway and core courses for the new major. In addition, s/he would help other faculty integrate GIS into their courses and research. A Ph.D. and a high quality record of teaching and research are required.  Applications received by February 1, 2008 will receive the highest consideration.",Jobs & Internships
"Asst. Prof., Public Policy and Environmental Studies, Lasell C",Jul 30 2010 - 1:52pm,"February 2, 2008",1/31/08,,,http://chronicle.com/jobs/id.php?id=0000545179-01&pg=s&cc=,"Lasell College (MA) seeks applicants for a full-time position in Public Policy and Political Science with an emphasis on Environmental Studies in a global context. More senior rank will be considered based on experience and other credentials.  The successful applicant will be broadly trained but have research and teaching interest in policy that promotes sustainability. Specific areas of interest may include energy policy, smart growth and community development, sustainable business and campus policies, and environmental justice. The candidate will also play a critical role in the Green Campus Initiative.  The candidate must have, by the starting date, a Ph.D. in a public policy related field and must be able to work cooperatively and productively with faculty, staff and students, show evidence of excellent teaching and student advocacy, and show a commitment to campus service and student advising.  Screening of applications has begun, and it will continue until the position is filled.",Jobs & Internships
"Asst. Professor, Green Chemistry, Worcester State C",Jul 30 2010 - 1:52pm,"February 2, 2008",1/31/08,,,http://www.higheredjobs.com/search/details.cfm?JobCode=175291716,"Worcester State Colleges is seeking a tenure-track, Assistant Professor of Green Chemistry to begin work on September 1, 2008.  A Ph.D., demonstrated research experience and a strong commitment to teaching excellence are required. Willingness to sponsor undergraduate research is expected. Teaching responsibilities include general chemistry, toxicology and an upper level green chemistry course. The appointee will develop an upper level course in green chemistry for chemistry majors.  In addition, s/he will be expected to teach core courses in the chemistry program and to incorporate the principles of green chemistry.  The position is open until filled.",Jobs & Internships
"Asst./Assoc. Prof., Enviro., Geographic and Geological Sciences, Lehman C",Jul 30 2010 - 1:52pm,"February 2, 2008",1/31/08,,,http://www.higheredjobs.com/search/details.cfm?JobCode=175291984,"Lehman College (NY) invites applications for a tenure-track Assistant or Associate Professorship in Environmental, Geographic and Geological Sciences. The appointee is expected to develop and maintain an active research program and to teach at the undergraduate and graduate levels. Candidates with expertise in environmental geography or urban environment with a strong background in Geographic Information Science are preferred, and knowledge of remote sensing is desirable.  Candidates must possess a Ph.D. at the time of appointment.  The position is open until filled.",Jobs & Internships
