Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
Hartwick College Celebrates Health and Environment Theme,Jan 19 2015 - 2:21pm,"January 20, 2015",Hartwick College,,"January 9, 2015",http://www.hartwick.edu/news/j-term-campus-theme-events-1-9-15,"This year's campus theme, Health and the Environment: Personal Courage and Community Activism, invites students and faculty to participate in its month-long agenda featuring a film series, bus trip for political action, and education and awareness of fair trade products.",Co-Curricular Education & Student Organizing
St. Edward's U Reuses Staff Uniforms,Jan 15 2015 - 1:20pm,"January 27, 2015",St. Edward's University,,"January 12, 2015",http://think.stedwards.edu/sustainability/content/facilities-uniforms-get-new-lease-life,"(U.S.): Expecting to replace worn out staff uniforms once or twice per year, the university partnered with a locally-owned and operated textile recycling company to repurpose them into dust rags.",Waste
Northern Arizona U Installs Residential Wind Turbine,Jan 16 2015 - 9:46am,"January 20, 2015",Northern Arizona University,,"January 12, 2015",http://www2.nau.edu/green-p/index.php/2015/01/12/nau-gets-new-wind-turbine/,"Funded through the university's Green Fund and the department of Finance and Administration, the 2.4-kilowatt wind turbine was installed on campus and originated from students working on the Arizona Wind for Schools initiative, a project of the U.S. Department of Energy's WindExchange program.",Energy
Eastern Connecticut State U Partners to Offer Solar to Community,Jan 19 2015 - 12:03pm,"January 20, 2015",Eastern Connecticut State University,,"January 12, 2015",http://www1.easternct.edu/pressreleases/2015/01/12/eastern-first-to-launch-unique-solar-program/,"In an effort to make solar affordable and accessible, the university recently brought the Solar U program online. Part of the Solarize Connecticut program, Solar U offers faculty, staff and students' families the opportunity to compare online competitive bids from pre-screened installers of solar energy systems.",Public Engagement
Western Washington U to Test Electric Vehicles on Campus,Jan 19 2015 - 3:08pm,"January 20, 2015",Western Washington University,,"January 12, 2015",http://www.westernfrontonline.net/news/news_photo/article_a4cc52de-9ae6-11e4-8fc3-8feaac6ad354.html,"Due to the large number of vehicles used on campus, in January 2015, university Facilities Management employees will try out several kinds of electric vehicles to determine how they can be used to reduce carbon emissions.",Transportation
Utah State U Connects Photovoltaic System,Jan 22 2015 - 5:45pm,"February 3, 2015",Utah State University,,"January 12, 2015",http://www.usu.edu/ust/index.cfm?article=54378&nl=409,"Reducing utility costs and increasing visibility for renewable energy, the newly installed 264-panel system will offset energy consumption used by the university's equine research center.",Energy
U Colorado Boulder Salvages Computers for Low Income Communities,Jan 6 2015 - 10:51am,"January 13, 2015",University of Colorado Boulder,,"January 13, 2015",http://www.colorado.edu/ecenter/computers-youth,"The university's Computers for Youth program, now ongoing and year-round, provides middle and high school students from low-income communities around Colorado with upgraded computers and basic computing programs. Surplus computer equipment is gathered, tested and re-furbished to original specifications and loaded with the latest software to assist students' academic achievement.",Public Engagement
Boston U Partnership Investigates Net Zero Building,Jan 6 2015 - 12:44pm,"January 13, 2015",Boston University,,"January 13, 2015",http://www.bu.edu/sustainability/bu-as-a-learning-lab/,"A research partnership between a mechanical engineering professor and two of his students, sustainability @BU and the university's Facilities Management & Planning department resulted in the conclusion that energy conservation measures could be applied to 74 campus buildings with the potential to reduce overall energy consumption 10 to 15 times more than converting the university's Earth House, a sustainability-focused, residential living learning community space, to  net zero.",Co-Curricular Education & Student Organizing
Delta College Offers Urban Gardening Class to Community,Jan 7 2015 - 11:05am,"January 13, 2015",Delta College,,"January 13, 2015",http://www.delta.edu/lifelonglearningcontent/community-education/urban-farming.aspx,"The college recently introduced the new series about practical and easy-on-the-earth methods of modern day urban agriculture including six topics: soil health and amendments, starting seeds and companion plants, growing in small spaces, raising chickens, building farm equipment, and sharing goods.",Public Engagement
2014 GameDay Recycling Challenge Spotlights Leaders,Jan 12 2015 - 12:41pm,"January 13, 2015",,,"January 13, 2015",http://gamedaychallenge.org/participating-schools/2014-results/,"The 2014 results highlight those institutions with the highest total waste diversion rate, with Humboldt State University at the top of the leader board at 86.05 percent, and highest total recyclable material in pounds, Clemson University at the top with 60,724 pounds recycled. The GameDay Recycling Challenge is a friendly competition for colleges and universities to promote waste reduction at their football games. During the challenge, colleges and universities implement waste reduction programs during home football games, track and report the data.",Waste
AASHE Member Discount: Audubon Int'l Sustainable Communities Prog,Jan 12 2015 - 1:47pm,"January 13, 2015",Audubon International,,"January 13, 2015",http://www.aashe.org/node/85952,AASHE members receive 50 percent off Audubon International's new Sustainable Communities Program when the discount code is applied. Click here to view the code.,Opportunities
AASHE Member Discount: Audubon Int'l Cooperative Sanctuary Prog,Jan 12 2015 - 1:54pm,"January 13, 2015",Audubon International,,"January 13, 2015",http://www.aashe.org/node/85950,AASHE members receive 50 percent off Audubon International's Audubon Cooperative Sanctuary Program when the discount code is applied. Click here to view the code.,Opportunities
U California to Begin Supplying Electricity to Campuses,Jan 19 2015 - 11:42am,"January 20, 2015","University of California, Office of the President",,"January 13, 2015",http://www.universityofcalifornia.edu/press-room/university-california-supply-electricity-select-campuses-medical-centers,"The university will switch from a third-party electricity supplier to provide electric power directly to five of its campuses and three of its medical centers, along with other electric accounts throughout the university as part of its initiative to achieve carbon neutrality by 2025.",Energy
Indiana U Purdue U Indianapolis Offers New Transportation Option,Jan 22 2015 - 5:20pm,"January 27, 2015",Indiana University-Purdue University Indianapolis,,"January 13, 2015",http://inside.iupui.edu/editors-picks/campus-life/2015-01-13-campus-commute.shtml,"(U.S.): The recently launched Campus Commute shuttle system gives faculty, staff, students and administrators the option to ride mass transit between the university's Indianapolis and Bloomington campuses.",Transportation
West Liberty U Adds 400 Recycling Bins,Jan 23 2015 - 4:03pm,"January 27, 2015",,West Liberty University,"January 13, 2015",http://www.statejournal.com/story/27838292/west-liberty-university-receives-recycling-bins,"(U.S.): After past surveys revealed that 84 percent of the campus community would recycle if it was more convenient, the university, aided by funding from West Virginia Department of Environmental Protection, added bins to common areas, classrooms and offices.",Waste
Cornell U Building Earns LEED Platinum,Jan 23 2015 - 5:09pm,"January 27, 2015",Cornell University,,"January 13, 2015",http://www.news.cornell.edu/stories/2015/01/law-school-addition-certified-platinum-green-building-group,"(U.S.): The new addition boasts a vegetative roof, an energy efficient HVAC system and automated building control systems, recycled and regionally-procured materials, and carbon dioxide detectors to circulate fresh air only when the space is occupied.",Buildings
U California Initiates President's Sustainability Student Program,Jan 15 2015 - 1:27pm,"January 20, 2015","University of California, Office of the President",,"January 14, 2015",http://www.universityofcalifornia.edu/press-room/uc-creates-president%E2%80%99s-sustainability-student-fellowshipinternship-program,"Supporting the university system's goal of achieving carbon neutrality by 2025, the university recently announced the creation of the President's Sustainability Student Fellowship/Internship program, whereby the Office of the President will provide $7,500 to each of the university's 10 campuses to fund student awards.",Climate
U Saskatchewan Student Helps Deal With Costly Research Byproduct,Jan 27 2015 - 5:46pm,"February 3, 2015",University of Saskatchewan,,"January 14, 2015",http://words.usask.ca/news/2015/01/14/the-living-lab/,"A Sustainability Living Lab project, a biological engineering student is investigating a system to process manure from the campus' Dairy Research and Teaching Farm into a product that can be kept on campus or one that is cheaper to have discarded. Currently the university spends $65,000 annually for the manure to be hauled away.",Co-Curricular Education & Student Organizing
U Richmond Reaches Agreement to Install Solar Energy,Jan 23 2015 - 1:26pm,"January 27, 2015",University of Richmond,,"January 15, 2015",http://news.richmond.edu/releases/article/-/12365/university-of-richmond-secure-futures-announce-solar-power-installation-first-in-virginia-under-pilot-program.html,"(U.S.): With construction slated to begin in July 2015, the 204-kilowatt solar electric array will help the university meet its 30 percent by 2020 carbon reduction goal. Under the arrangement, a solar energy developer in Virginia will install, maintain and own the solar array and its associated tax benefits and will sell the electricity generated by the array to the university at a set rate over a 20-year period.",Energy
Utah State U Faculty and Student Projects Receive $15K,Feb 2 2015 - 10:24am,"February 3, 2015",Utah State University,,"January 15, 2015",http://www05.usu.edu/today/?id=54405,"The university's Facilities recently awarded $15,610 to four projects that include moveable bike racks to increase biking as a mode of transportation, two electric vehicle charging stations in a student parking lot, a bike tire pump, and videos that raise awareness about alternative transportation options.",Funding
New Issue Sustainable Business Magazine,Feb 5 2015 - 7:11pm,"February 17, 2015",,Sustainable Business Magazine,"January 15, 2015",http://issuu.com/swattdesign/docs/issuu_01-15,"The latest issue, featuring a forward from AASHE's new Executive Director Meghan Fay Zahniser, spotlights campus sustainability from Princeton University, Santa Clara University and Trent University.",New Resources
Knox College Completes Waste Free Move,Jan 20 2015 - 11:45am,"January 27, 2015",Knox College,,"January 16, 2015",https://sustainableknox.wordpress.com/2015/01/16/january-sustainable-transitions-at-knox/,"(U.S.): Over the most recent winter break, 70 staff and faculty moved, including the contents of five storage rooms, to a newly renovated building without renting a dumpster or increasing its regular trash pickup schedule.",Waste
MacEwan U Students to Promote Carbon Footprint Awareness,Feb 5 2015 - 3:56pm,"February 10, 2015",MacEwan University,,"January 16, 2015",http://www.macewan.ca/contribute/groups/public/documents/document/scic_2015.pdf,Student members plan to launch the Carbon Cloud Initiative by walking around with eight balloons that visually represents the amount of carbon emissions an average Canadian generates per minute. Students will deliver a one-minute presentation to the students in their classes about the balloons.,Co-Curricular Education & Student Organizing
Antioch U New England Announces Peace Corps Partnership,Feb 6 2015 - 12:47pm,"February 10, 2015","Antioch University, New England",,"January 16, 2015",http://www.antiochne.edu/aunenews/antioch-university-new-england-announces-peace-corps-phd-program-environmental-studies/,"Following a model of engaged scholarship, the recently launched program allows students conducting Department of Environmental Studies doctoral work to complete advanced graduate work during their Peace Corps service. The program consists of two years of doctoral courses and 27 months in the Peace Corps while students conduct doctoral research.",Research
U Indonesia to Prohibit Vehicles on Campus,Jan 23 2015 - 5:00pm,"January 27, 2015",,University of Indonesia,"January 19, 2015",http://www.thejakartapost.com/news/2015/01/19/ui-prohibit-motor-vehicles-campus.html,"(Indonesia): In an effort to reduce emissions from vehicles on campus, the university recently announced plans to build three 3,000-vehicle parking structures on the outskirts of its campus where students and faculty will be required to park and ride the bus or bicycle to campus.",Transportation
Indiana U Student Organization Passes Sustainability Resolution,Jan 23 2015 - 5:30pm,"January 27, 2015",Indiana University Bloomington,,"January 19, 2015",http://www.idsnews.com/article/2015/01/gpso-passes-resolution-to-cut-down-on-fossil-fuels,"(U.S.): The university's Graduate and Professional Student Organization recently passed a resolution calling for the university to establish a dollar amount allocated to renewable energy and to make the amount public, and to report associated emissions reductions each year.",Climate
AASHE Member Discount: Creative Change Educational Solutions,Jan 12 2015 - 2:16pm,"January 20, 2015",Creative Change Educational Solutions,,"January 20, 2015",http://www.aashe.org/node/85534,AASHE members receive a 15 percent discount on curriculum licensing and professional development programs to integrate sustainability into the curriculum.,New Resources
Call for Proposals: AESS 2015 Conference Deadline Extension,Jan 15 2015 - 1:15pm,"January 20, 2015",,Association of Environmental Studies and Sciences,"January 20, 2015",http://aess.info/content.aspx?page_id=22&club_id=939971&module_id=165353,"The Association of Environmental Studies and Sciences 2015 Conference is currently accepting individual abstracts for paper and poster presentations, workshops and panels to its theme Confronting Frontiers, Borders, and Boundaries taking place at the University of California San Diego on June 24-27. The conference theme will allow for interdisciplinary discussions about issues such as transboundary pollution, environmental equity and representation, international connections and collaborations, and teaching across disciplines. Submissions are due by January 30.",Opportunities
Food Scraps Composting on College/University Campuses Guidebook,Jan 15 2015 - 4:14pm,"January 20, 2015","FOR Solutions, LLC",,"January 20, 2015",http://forsolutionsllc.com/college-composting-ebook/,"This new, free electronic book from FOR Solutions discusses how to select the proper technology for composting on campus, implementing technology to transform food scraps into compost, and the benefits and learning opportunities of composting.",New Resources
New Issue of Int'l Journal of Sustainability in Higher Education,Jan 19 2015 - 2:40pm,"January 20, 2015",,Emerald Group Publishing,"January 20, 2015",http://www.emeraldinsight.com/toc/ijshe/16/1,"The new issue features articles from the education subject area. Topics include student organic gardening, environmental attitudes, challenges of campus sustainability in China, engaging community in sustainability, inclusion and online learning.",New Resources
California State U East Bay to Sign ACUPCC,Jan 19 2015 - 5:16pm,"January 20, 2015","California State University, East Bay",,"January 20, 2015",http://www20.csueastbay.edu/oaa/sustaineb/engagement/event-acupcc.html,"At an upcoming signature event featuring faculty experts discussing climate change science, impacts and mitigation, the university's president will sign the American Colleges and Universities Presidents' Climate Commitment.",Climate
AASHE 2015 Sustainability in Higher Education Staffing Survey,Jan 19 2015 - 5:41pm,"February 3, 2015 January 27, 2015 January 20, 2015",,AASHE,"January 20, 2015",https://www.surveymonkey.com/r/higher_ed_sustainability_staffing_2015,"The 2015 Higher Education Sustainability Staffing Survey is open! We encourage anyone in a paid sustainability position in higher education to take the survey and be entered to win a FREE AASHE 2015 Conference & Expo registration pass! To qualify for the survey, you must be in a paid sustainability position in a higher education institution or college/university system office with either broad responsibility for campus sustainability, or focus on a particular area such as energy, recycling or curriculum. If you qualify, click here and be entered to win a free conference pass!",Opportunities
Call for Proposals: AASHE 2015 Conference & Expo,Jan 19 2015 - 6:13pm,"February 17, 2015 February 10, 2015 February 3, 2015 January 27, 2015 January 20, 2015",,,"January 20, 2015",http://www.aashe.org/conference/2015,"Submissions are now being accepted for the AASHE 2015 Conference & Expo, themed Transforming Sustainability Education, in Minneapolis, Minn., on Oct. 25 - 28. There are six tracks to choose from and new presentation-type options. The six tracks are operations, curriculum, research, engagement, innovation and art. The submission period closes Feb. 23. Read more here and submit your proposal.",Opportunities
U Illinois Urbana-Champaign to Install 5.87MW Solar Farm,Jan 22 2015 - 1:16pm,"January 27, 2015","University of Illinois, Urbana-Champaign",,"January 20, 2015",http://www.fs.illinois.edu/resources/news-announcements/2015/01/20/university-of-illinois-finalizes-solar-farm-agreements,"(U.S.): Contributing to the university's goal of carbon neutrality, construction of an on-campus 5.87-megawatt solar farm will begin in spring 2015 after university and state officials recently approved power purchase and land lease agreements.",Energy
Texas A&M to Install Thermal Storage Tank,Jan 27 2015 - 8:20pm,"February 3, 2015",Texas A&M University,,"January 20, 2015",http://www.thebatt.com/news/view.php/858565/5M-thermal-energy-storage-tank-to-cut-co,"A soon-to-be-completed 3-million gallon tank for chilled water to air condition and dehumidify buildings is projected to save the university around $600,000 per year by creating the chilled water at night when electricity rates are lowest. Due to the new chiller's capacity, it will allow the university to shut down other chillers that charge during the day.",Energy
U California Davis Building Claims LEED Platinum,Jan 27 2015 - 8:29pm,"February 3, 2015","University of California, Davis",,"January 20, 2015",http://asumag.com/green-design-buildings/uc-davis-student-housing-project-earns-leed-platinum?NL=ASU-02&Issue=ASU-02_20150122_ASU-02_581&sfvc4enews=42&cl=article_4_b&YM_RID=CPEQW000001165693&YM_MID=2427,"Sustainable features include easy separation for disposing of recyclable products, natural light and views in common areas, high-recycled content in building materials, an energy-efficient mechanical design, and water-efficient sustainable landscaping.",Buildings
Penn State Students Initiate Community Projects,Feb 2 2015 - 2:38pm,"February 3, 2015",Pennsylvania State University,,"January 20, 2015",http://news.psu.edu/story/341489/2015/01/20/campus-life/student-sustainability-projects-benefit-local-communities,"Projects selected through the university's Sustainable Communities Collaborative include an exploration of net-zero energy strategies from an engineering and a human resources perspective, stormwater mitigation tools for residential neighborhoods, composting evaluation and marketing studies, communication strategies to increase participation in recycling, and marketing strategies for a farmer’s market. Sustainable Communities partnerships are formed through agreements developed between local governments and the university's Sustainability Institute to link community-based sustainability projects with existing courses across the university.",Public Engagement
North Central College Bolsters Electric Vehicle Use,Jan 22 2015 - 6:02pm,"January 27, 2015",North Central College,,"January 21, 2015",https://northcentralcollege.edu/news/north-central-college-supports-electric-vehicle-usage-workplace-charging-challenge,"(U.S.): By joining the U.S. Department of Energy's Workplace Charging Challenge, the university pledges to develop a plan to maintain and promote electric charging stations on campus. The university owns two all-electric, zero-emission fleet vehicles and two electric charging stations.",Transportation
New Release: Second Nature Sustainability Sit-Downs Video [Video],Jan 22 2015 - 6:18pm,"January 27, 2015",Second Nature,,"January 21, 2015",https://www.youtube.com/watch?v=1jsqnjFSTgU,"Starting in January 2015, Second Nature released a new video series titled Sustainability Sit-Downs. The series, which consists of 12 interviews, features sustainability leaders from higher education, and non-profit and private sector organizations that work closely with colleges and universities. This first video features Meghan Chapple, director of George Washington University Office of Sustainability.",New Resources
Duke U to Raise Minimum Pay Rate for Regular Employees,Jan 26 2015 - 8:03pm,"February 3, 2015",Duke University,,"January 21, 2015",http://today.duke.edu/2015/01/minimumwage,"An annual review of all pay ranges relative to local and national markets inspired the university to announce an increase in minimum wage pay rate to $12 per hour from the current rate of $10.91, which was last adjusted in 2012.",Human Resources
U Wisconsin Madison Holds Diversity Discussions,Jan 27 2015 - 8:26pm,"February 3, 2015",University of Wisconsin-Madison,,"January 21, 2015",http://host.madison.com/news/local/writers/pat_schneider/standing-room-only-crowd-attends-uw-voices-discussion-of-race/article_f8f8289a-2089-5641-96ad-9096c25da2d4.html,"Spurred by a campus demonstration of the national frustration over racial inequity in the criminal justice system, campus officials welcomed students back by convening a newly planned round of public discussions of race on campus.",Diversity & Inclusion
U Northern British Columbia Reduces Food Waste,Mar 3 2015 - 9:44pm,"(Unpublished) March 10, 2015",University of Northern British Columbia,,"January 21, 2015",http://www.unbc.ca/releases/36013/unbc-group-fights-food-waste-and-provides-nutrition-prince-george-community,"Since October 2014, more than 1,000 pounds of food has been provided to local charities from the university's Food Recovery Project that collects and redistributes the surplus food from a new dining hall.",Waste
Five Universities Win Award for Social Entrepreneurship,Jan 23 2015 - 12:56pm,"February 3, 2015",,,"January 22, 2015",http://ashokau.org/blog/announcing-the-2015-ashoka-u-cordes-innovation-award-winners/,"Brown University, Duke University, University of British Columbia, University of Colorado Boulder and the University of Maryland recently won the 2015 Ashoka U-Cordes Innovation Award based on their ability to demonstrate how students, faculty and community members transform the ways in which colleges and universities prepare students as changemakers while positively impacting the community.",Co-Curricular Education & Student Organizing
U Nebraska Passes Legislation for Eco-Representatives,Jan 28 2015 - 9:35am,"February 3, 2015",University of Nebraska - Lincoln,,"January 22, 2015",http://www.dailynebraskan.com/news/rha-passes-legislation-to-place-eco-representatives-in-halls/article_e79abbc2-a1ef-11e4-9fff-07fa2c8ef1fd.html,The university's Residence Hall Association approved legislation that will place eco-representatives to live in each of the residence halls to encourage sustainability through both formal and informal communications with their peers.,Co-Curricular Education & Student Organizing
Harvard U Building Receives LEED Gold,Feb 2 2015 - 6:25pm,"February 3, 2015",Harvard University,,"January 23, 2015",http://news.harvard.edu/gazette/story/2015/01/greening-the-harvard-art-museums/,"The university's Harvard Art Museums features energy-efficient LED lightbulbs, natural lighting, a rainwater recovery system, waterless urinals, and 96 percent of all construction-related waste and debris was diverted from landfills.",Buildings
U North Carolina Charlotte Launches Food Pantry,Feb 16 2015 - 12:39pm,"February 17, 2015","University of North Carolina, Charlotte",,"January 23, 2015",http://www.charlotteobserver.com/2015/01/23/5461303/student-needs-give-rise-to-uncc.html#.VOIZtlPF_IX,"The university's new food pantry, for food-insecure students without meal plans who live off-campus, stocks shelves with donated nonperishable items and is open two days per week.",Health & Wellness
Auburn U Releases Online Presentation of Sustainability Efforts,Jan 27 2015 - 12:13pm,"February 3, 2015",Auburn University,,"January 26, 2015",http://wp.auburn.edu/sustainability/2014story/,"The university's Office of Sustainability recently released the new Prezi video, Our Sustainability Story, that provides an overview of campus-wide sustainability efforts including research, instruction and outreach.",Human Resources
Emory U Cleans Campus Wastewater for Reuse,Feb 2 2015 - 3:19pm,"February 3, 2015",Emory University,,"January 26, 2015",http://news.emory.edu/stories/2015/01/er_water_reclamation/campus.html,"A new wastewater reclamation system, called WaterHub, allows the university to clean effluent and reuse nearly 300,000 gallons of campus wastewater daily, cutting potable water consumption as much as 35 percent and projected to save the university millions in water utility costs over a 20-year period. In addition, the project will serve as a living laboratory by allowing students to analyze wastewater samples at various stages of treatment.",Water
Central College Students Complete Small House With Salvaged Items,Feb 5 2015 - 6:22pm,"February 10, 2015",Central College,,"January 26, 2015",http://news.central.edu/2015/01/26/tiny-home/3239,"For their senior project, two environmental studies majors recently completed a small house over a 10-week period for $489 using truckloads of reclaimed materials.",Curriculum
