Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
U Maryland Cultivates Campus Farm,Feb 28 2014 - 3:04pm,"March 4, 2014","University of Maryland, College Park",,"March 4, 2014",http://dining.umd.edu/terp-farm,"In partnership with the university's Dining Services, College of Agriculture and Natural Resources and the Office of Sustainability, the new sustainable farming operation will be located 15 miles from campus and it will supply the university and food-insecure campus and community members with fresh and sustainably-grown food.",Co-Curricular Education & Student Organizing
Online Conversations with 30 Global Leaders,Mar 3 2014 - 1:04pm,"March 4, 2014",,,"March 4, 2014",http://wholeearthsummit.org/schedule/,"The Whole Earth Summit, organized by Ashevillage Institute, will virtually host 30 global leaders from March 11-13 for conversations on topics such as energy, food sovereignty, appropriate technology, activism, land management and transformational leadership.",Opportunities
Auburn U Recognized by General Electric for Conservation,Mar 4 2014 - 12:12pm,"March 11, 2014",Auburn University,,"March 4, 2014",http://www.auburn.edu/administration/facilities/about_us/news/proof-not-promises/index.html,"Awarded to the university on behalf of projects that improve operational performance, GE's Proof not Promises award spotlights the university's $20,000 savings in combined water and energy recovery.",Water
Portland State U Institutionalizes Composting,Mar 7 2014 - 12:48pm,"March 11, 2014",Portland State University,,"March 4, 2014",http://www.pdx.edu/sustainability/news/compost-collection-makes-comeback-psu,"After a 2013 campus waste audit revealed that 36 percent of the material sent to the landfill could be composted, the university recently signed a new custodial contract that allows the campus community access to food scrap collection bins in departmental common areas.",Waste
Portland State U Hosts Research Symposium on Health Equity,Mar 12 2014 - 11:27am,"March 25, 2014",Portland State University,,"March 4, 2014",http://www.pdx.edu/sustainability/news/research-action-spurs-exchanges-about-health-inequity,(U.S.): University researchers recently gathered for an event called Research to Action to discuss social structures and economic systems that are responsible for health inequities in society.,Research
North Carolina State U Class to Assist in LEED Certification,Mar 5 2014 - 9:26pm,"March 11, 2014",North Carolina State University,,"March 5, 2014",http://sustainability.ncsu.edu/uncategorized/students-to-have-key-role-in-leed-certification-process-for-nelson-hall,"Beginning fall of 2014, students from a design class will lead the documentation process required for LEED certification on Nelson Hall, in addition to gaining the documented experience required to take the LEED AP exam.",Co-Curricular Education & Student Organizing
Northland College Receives Grant for Environmental Education,Mar 12 2014 - 2:38pm,"March 18, 2014",Northland College,,"March 5, 2014",http://www.ashlandwi.com/news/local/article_0555833e-a40f-11e3-9814-0019bb2963f4.html,The college will use the newly acquired funds for student engagement and research around its goal of carbon neutrality by 2025 and increasing procurement of local foods.,Funding
Western State Colorado U Offers New Masters Environmental Prog,Mar 7 2014 - 1:31pm,"March 18, 2014",Western State Colorado University,,"March 6, 2014",http://www.western.edu/news/new-master-environmental-management-doubles-enrollment-expectations,The university's new Master in Environmental Management is set to begin in summer of 2014.,Curriculum
Colorado State U Selected for Renewable Power-Purchase Program,Mar 12 2014 - 5:01pm,"March 18, 2014",Colorado State University,,"March 6, 2014",http://www.ncbr.com/article/20140306/NEWS/140309944/0/EDITION,"The city of Fort Collins has selected the university to be a part of a 20-year solar electricity system agreement, stemming from a state mandate requiring utilities to generate 10 percent of their electricity from renewable sources by 2020.",Energy
Millersville U Receives $10K Grant for Disadvantaged Students,Mar 12 2014 - 5:09pm,"March 18, 2014",Millersville University,,"March 6, 2014",http://blogs.millersville.edu/exchange/2014/03/06/10000-grant-benefits-lancaster-partnership-program/,The recently awarded funding by the Campbell Soup Foundation to the university's Lancaster Partnership Program is designed to help socioeconomically disadvantaged students pursue a college career.,Affordability & Access
Harvard U Students Develop Indicators for Safe Oil Drilling,Mar 31 2014 - 7:00pm,"April 1, 2014",Harvard University,,"March 7, 2014",http://today.law.harvard.edu/changing-climate-environmental-law/,"Students from the university's Emmett Environmental Law and Policy Clinic developed the recently released report, currently being circulated among legislators, which suggests ways to protect the environment from the impact of routine drilling as well as major oil spills.",Co-Curricular Education & Student Organizing
U Central Florida Initiates Single-Stream Recycling,Mar 12 2014 - 5:14pm,"March 18, 2014",University of Central Florida,,"March 9, 2014",http://www.centralfloridafuture.com/news/ucf-to-implement-single-stream-recycling-system-1.2859642#.UyDTfFFdV28,"The recently signed contract allows students to place all recyclable material in a single bin, which is then sorted by the waste contractor.",Waste
Lake Land College to Construct 200KW Photovoltaic Array,Mar 12 2014 - 5:28pm,"March 18, 2014",Lake Land College,,"March 10, 2014",http://jg-tc.com/news/llc-trustees-move-forward-with-next-green-energy-project/article_5a5b3668-21c6-59c1-80e9-1478081455e5.html,"The college's Board of Trustees recently approved a contract for the construction of two solar arrays totaling 200-kilowatts. During the same meeting, they approved the bylaws for a new renewable energy student club.",Energy
U Rhode Island Launches Climate Change Website,Mar 4 2014 - 12:01pm,"March 11, 2014",University of Rhode Island,,"March 11, 2014",http://riclimatechange.org/,"Called the Climate Change Collaborative, the goal of the site is to educate the public about the effects of climate change, and personal and professional steps to manage the impacts.",Coordination & Planning
Call for Abstracts: Book Project on Policy and Agriculture,Mar 4 2014 - 12:24pm,"April 1, 2014 March 11, 2014",Furman University,,"March 11, 2014",http://www2.furman.edu/academics/shicenter/OurResearch/Pages/Call-for-Abstracts.aspx,"The new book project out of the Shi Center for Sustainability at Furman University will explore the themes of and intersections among policy, food and farming, and culture in the contemporary American South. Stemming from an interest in alternative, sustainable food systems and the resurgence of the local and craft food movement, the book's focus on the South is due to its distinctive food nuances related to food policy and practice. Deadline for abstracts is April 4.",Opportunities
U Toronto Begins Campaign to Eliminate Styrofoam,Mar 4 2014 - 12:36pm,"March 11, 2014",University of Toronto,,"March 11, 2014",http://sustainability.utoronto.ca/news/calendar/Re-UsableContainers.htm,"The university's Sustainability commission has recently been handing out free reusable containers, along with posting fliers, that attempt to reduce the amount of styrofoam containers coming from on-campus food trucks.",Waste
15th Annual Brower Youth Awards Application Period,Mar 4 2014 - 12:52pm,"May 6, 2014 April 1, 2014 March 11, 2014",,Earth Island Institute,"March 11, 2014",http://broweryouthawards.org/article.php?list=type&type=54,"Hosted by the Earth Island Institute, North American college students are encouraged to apply for the award based on their demonstrated excellence in environmental leadership, and the creativity, impact, replicability and relevance of the project. Applications will be accepted until May 12.",Opportunities
Lehigh U Hosts Regional Campus Sustainability Conference,Mar 5 2014 - 3:52pm,"March 11, 2014",Lehigh University,,"March 11, 2014",http://www.lvaic.org/default.aspx?pageid=738,"Lehigh Valley Association of Independent Colleges (LVAIC), a consortium of six private colleges and universities, recently offered a regional Campus Sustainability Conference with focused workshops on divestment, climate change, green theatre, strategies for sustaining sustainability and environmental leadership.",Coordination & Planning
Central College to Develop Strategic Sustainability Vision,Mar 5 2014 - 4:35pm,"March 11, 2014",Central College,,"March 11, 2014",http://news.central.edu/news-release/central-college-developing-strategic-vision-for-undergraduate-sustainability-education/,"The college's soon to be developed plan for undergraduate sustainability education will include support for course development, student research opportunities, faculty workshops, and the integration of carbon reduction activities that stimulate citizenship skills.",Coordination & Planning
Humboldt State U Produces Virtual Residential Room,Mar 5 2014 - 6:50pm,"March 11, 2014",Humboldt State University,,"March 11, 2014",https://www.humboldt.edu/greenroom/,"The new website encourages healthy and sustainable living habits through its interactive website that allows users to get more information about green cleaning, ridesharing, buying reused items, indoor air quality, energy efficiency and waste reduction.",Coordination & Planning
Hampshire College to Establish New Food and Agriculture Center,Mar 7 2014 - 2:27pm,"March 11, 2014",Hampshire College,,"March 11, 2014",https://www.hampshire.edu/news/Hampshire-College-to-establish-Center-for-New-England-Food-and-Agriculture-28036.htm,"Part of the college's Sustainability Initiative, the upcoming Center for New England Food and Agriculture will establish relationships with community and academic partners while gaining a deeper understanding of the challenges of local sourcing, and will include a pilot apprenticeship program, an internship program with local and international opportunities, and a collaborative research program with multi-institutional teams.",Research
AASHE Member Discount: 20% Off The MIT Press Environmental Titles,Mar 7 2014 - 4:10pm,"March 03, 2015 February 3, 2015 December 2, 2014 September 30, 2014 July 29, 2014 June 10, 2014 March 11, 2014",,The MIT Press,"March 11, 2014",http://www.aashe.org/node/84343,"The MIT Press is pleased to offer a 20% book discount exclusively to AASHE members on its entire list of environment and sustainability studies titles, including Mitchell Thomashow's recently published book, The Nine Elements of a Sustainable Campus. To redeem this discount, click on the title link for the discount code to use at checkout when purchasing books through the MIT Press website. Please note that this code can be applied to single or multiple purchases, and is valid for use on the MIT Press website only.",New Resources
Call for Applications: 2014 Green Genome CC Awards,Mar 9 2014 - 8:03pm,"April 22, 2014 April 8, 2014 March 11, 2014",American Association of Community Colleges,,"March 11, 2014",http://theseedcenter.org/Special-Pages/Green-Genome-Award-Application-Guideline_Final.pdf,"The award, sponsored by the American Association of Community College's Sustainability Education and Economic Development Center, recognizes exemplary community colleges that have demonstrated the institutional competencies in community engagement, governance, program design and delivery, and strategic partnerships for a clean and sustainable economy. Applications are accepted through April.",Opportunities
AASHE Workshop: Developing Campus Living Laboratories,Mar 10 2014 - 10:40am,"April 1, 2014 March 11, 2014",,AASHE,"March 11, 2014",https://www.eventbrite.com/e/developing-campus-living-laboratories-workshop-registration-10602970771,This AASHE workshop is intended to support teams from colleges and universities in their application of living laboratory strategies in pursuit of sustainability in higher education.  Useful frameworks and related case studies will be presented in which living laboratory strategies are deployed at various scales. Individuals and teams (recommended) from colleges and universities will be offered the opportunity to learn from each other as well as develop initial concepts and applications of the instruments presented at the workshop at their respective institutions.,Opportunities
Oregon Passes 2 Bills to Help Students Through Higher Education,Apr 3 2014 - 5:30pm,"April 8, 2014",,,"March 11, 2014",http://www.opb.org/news/article/governor-kitzhaber-signs-two-bills-to-help-more-students-achieve-a-higher-education/,"The two bills, recently signed into law by the governor, are intended to help low-income students attain a higher education credential. One bill asks for a study on the feasibility of providing free community college classes to Oregon high school graduates. The other sets aside $750,000 for low-income families.",Affordability & Access
Bridgewater College Pilots Composting Program,Mar 12 2014 - 5:18pm,"April 1, 2014",Bridgewater College,,"March 12, 2014",http://www.bridgewater.edu/news-and-media/releases/1539-bridgewater-college-institutes-composting-pilot-program,The college recently implemented a composting pilot program for all dining hall food waste. Two student interns are conducting outreach efforts to the campus community about the new program.,Waste
Three Universities Sign Billion Dollar Green Challenge,Mar 17 2014 - 4:43pm,"March 25, 2014",Sustainable Endowments Institute,"University of Wyoming, the University of Saskatchewan, Sewanee: The University of the South","March 12, 2014",http://greenbillion.org/five-institutions-join-challenge-including-first-hospital-system/,"(U.S.): The University of Wyoming, the University of Saskatchewan, and Sewanee: The University of the South have recently committed to creating a self-managed revolving fund that finances energy efficiency improvements that achieve reductions in operating expenses and greenhouse gas emissions while creating regenerating funds for future projects.",Funding
U Washington Lab Receives Green Lab Certification,Mar 19 2014 - 10:47am,"March 25, 2014","University of Washington, Seattle",,"March 12, 2014",http://dailyuw.com/archive/2014/03/12/news/uw-labs-strive-sustainability-new-program#.Uym0Qq1dV2-,"(U.S.): The university-developed certification recently delivered a bronze achievement to an on-campus lab for its efforts to reduce energy consumption, divert waste from the landfill, and signage that educates technicians about lab sustainability.",Coordination & Planning
U Maryland Holds Diversity Open Mic Night,Mar 19 2014 - 11:11am,"March 25, 2014",Universal College of Healing Arts,,"March 12, 2014",http://www.diamondbackonline.com/news/campus/article_a5788068-a9a6-11e3-b196-0017a43b2370.html,"(U.S.): On behalf of a month dedicated to honoring diversity, the Office of Multicultural Involvement and Community organized the open mic night to give students a creative platform to share about their identity in hopes of transcending stereotypes.",Diversity & Inclusion
Dickinson College Hosts First Student Sustainability Conference,Mar 19 2014 - 12:34pm,"March 25, 2014",Dickinson College,,"March 12, 2014",http://www.dickinson.edu/news/article/968/a_common_concern,"(U.S.): The statewide event was student-organized and student-focused with round table discussions about the Keystone XL pipeline, obstacles to achieving sustainability initiatives, fossil fuel divestiture, and interdisciplinary collaboration as a part of sustainability practices.",Co-Curricular Education & Student Organizing
Western Washington U Prohibits Sale of Bottled Water,Mar 24 2014 - 5:49pm,"March 25, 2014",Western Washington University,,"March 12, 2014",http://www.sfgate.com/news/article/University-to-end-sale-of-bottled-water-on-campus-5310911.php,"(U.S.): In an effort to positively effect social justice and the environment, the university recently approved the move, which will begin in April, after a student-lead campaign was able to get an advisory note on the issue and a campus committee to implement the policy.",Water
CURC Webinar Series,Mar 21 2014 - 6:51pm,"March 25, 2014",College & University Recycling Coalition,,"March 13, 2014",http://3blmedia.com/News/CSR/College-University-Recycling-Coalition-Announces-2014-Webinar-Series,"The College & University Recycling Coalition, in partnership with Keep America Beautiful, have announced the 2014 webinar series of six, bi-monthly programs providing technical best practices information and case study presentations to college recycling and sustainability professionals.",Opportunities
HKUST Holds Opening Ceremony for Energy Institute,Apr 5 2014 - 4:02pm,"April 29, 2014",Hong Kong University of Science & Technology,,"March 13, 2014",http://www.seng.ust.hk/web/eng/news_detail.php?id=810,"(Hong Kong): Building upon The Hong Kong University of Science and Technology's programming and research in energy, the Energy Institute offers a multi-disciplinary platform for fostering energy-related research and curricular programs within the university and community.",Research
Calicut U Institutes Green Campus Awards,Mar 21 2014 - 6:45pm,"March 25, 2014",,Calicut University,"March 14, 2014",http://timesofindia.indiatimes.com/city/kozhikode/Calicut-University-institutes-green-campus-awards/articleshow/31970112.cms,"(India): The university's new award program will select the most environmentally-friendly and sustainable campus among its 421 campuses, and will be based upon initiatives implemented on the campus including water conservation, number of students engaged in environmental activities, campus greening activities, and environment-related academic activities.",Assessments & Ratings
U Birmingham Announces Living Wage Adjustment,Mar 24 2014 - 5:57pm,"March 25, 2014",,University of Birmingham,"March 14, 2014",http://www.birminghampost.co.uk/news/local-news/university-birmingham-relents-over-living-6825775,"(U.K.): Following months of protests and strikes on campus, including student sit-ins, university officials recently announced the wage increase for the university's lowest paid workers for the next two academic years beginning in August 2014.",Human Resources
Jordan U Science and Technology Signs 2MW Wind Power Agreement,May 26 2014 - 6:18pm,"May 27, 2014",,Jordan University of Science and Technology,"March 16, 2014",http://www.just.edu.jo/NewsCenter/Lists/JustNews/Public.aspx?Paged=TRUE&p_PublishDate=20140331%2021%3a00%3a00&p_Created=20140401%2011%3a49%3a17&p_ID=344&PageFirstRow=31&&View={256D6EFB-E48E-4747-92D0-3C675F30B463},"(Jordan): In this recently signed joint agreement, the 2-megawatt wind energy project will be led by the university and installed on the Irbid campus.",Energy
Manhattanville College Begins Community Focused Program,Mar 24 2014 - 5:39pm,"March 25, 2014",Manhattanville College,,"March 17, 2014",http://news.hamlethub.com/rye/neighbors/430-manhattanville-s-first-year-community-service-month-starts-march-20-1395017475,"(U.S.): The college's first year program is involved in community volunteerism including farm work, beautification projects, tree planting, and on-campus gardening.",Co-Curricular Education & Student Organizing
Utah State U Hires Bicycle Education Coordinator,Mar 24 2014 - 6:04pm,"March 25, 2014",Utah State University,,"March 17, 2014",http://www.usustatesman.com/2.5211/campus-news/aggie-blue-bikes-hires-coordinator-1.2860669#.UzCN861dV28,"(U.S.): The university's new position, held by Wayne Elder, a member of the League of American Bicyclists, will encourage more bicycle use on and off campus and promote bicycle safety through education.",Transportation
Penn State U Partners for Community Sustainability Projects,Mar 5 2014 - 8:43pm,"March 18, 2014",Pennsylvania State University,,"March 18, 2014",http://sustainability.psu.edu/spotlight/sustainable-communities-collaborative-celebrates-kick-spring-projects,A recent partnership between the top local government official and the Sustainability Institute link community-based sustainability projects with existing courses across the university.,Public Engagement
Boston U Residential Building Receives LEED Gold,Mar 7 2014 - 3:47pm,"March 18, 2014",Boston University,,"March 18, 2014",http://www.bu.edu/sustainability/what-were-doing/green-buildings/medical-student-residence/,"The new building features bus and bike options, indoor and outdoor bike storage, a green roof, low-flow water faucets, day-lighting and recycling options.",Buildings
U California Irvine Honored with EPA Climate Leadership Award,Mar 12 2014 - 1:18pm,"March 18, 2014","University of California, Irvine",,"March 18, 2014",http://www.epa.gov/climateleadership/awards/2014winners.html#uci,"The university was recently honored with the Organizational Leadership Award by the U.S. Environmental Protection Agency for their leadership in reducing greenhouse gas emissions, including setting a goal of 40 percent reduction by 2020 from 2011 levels, and the Smart Lab Initiative, a program to safely reduce energy consumption in laboratories, which has dropped consumption by 60 percent.",Climate
Campus Sustainability Day Logo Design Contest,Mar 12 2014 - 4:13pm,"April 1, 2014 March 18, 2014",,,"March 18, 2014",https://www.facebook.com/CampusSustainabilityDay,Submit your designs (JPG) for the 2015 Campus Sustainability Day logo to campus@nwf.org by April 4. All entries will be posted to a Facebook album on the CSD page where people can vote for their favorite.,Opportunities
CURC Zero Waste Campus Toolkit,Mar 12 2014 - 4:33pm,"March 18, 2014",College & University Recycling Coalition,University of Oregon,"March 18, 2014",http://zerowaste.uoregon.edu/PDFdocuments/ZeroWasteToolkit.pdf,"Recently released by the College and University Recycling Coalition and University of Oregon, the toolkit provides information about business principles, how to start a campus zero waste program, and policy and implementation strategies.",New Resources
U Georgia Uses Goats for Species Control,Mar 31 2014 - 12:13pm,"April 1, 2014","University of Georgia, The",,"March 18, 2014",http://onlineathens.com/uga/2014-03-18/chew-crew-goat-herd-comes-back-spring-forage-campus,"Over the next couple of months, the goats will help restore the ecological quality of a creek running through campus by munching away at the kudzu, English ivy, privet and other invasive plants that cover the stream banks. Students will have the opportunity to learn about urban water quality and invasive species.",Grounds
Western Carolina U Students Pay Into Sustainability Fund,Mar 20 2014 - 1:03pm,"April 1, 2014",Western Carolina University,,"March 19, 2014",http://thereporter.wcu.edu/2014/03/new-student-fee-to-support-sustainability-initiatives/,"Beginning in fall 2014, all full-time students will pay an additional $5 in student fees during the fall and spring semester to support sustainability-related project proposals from students, staff and faculty. The fee is expected to generate approximately $77,000 per year.",Investment
Antioch U New England to Create New Climate Resilience Center,Mar 21 2014 - 5:56pm,"March 25, 2014","Antioch University, New England",,"March 19, 2014",http://www.antioch.edu/antioch-university-news/antioch-university-new-england-to-support-the-new-white-house-climate-data-initiative/,"(U.S.): In response to the President's Climate Data Initiative, the university's new Center for Climate Preparedness and Community Resilience will apply data on climate change risks and impacts in ways that can facilitate more informed decisions. The center will build upon the decade of research in the areas of climate adaptation research and modeling, community engagement, and sustainable development and climate change.",Research
Cornell U to Install a 2MW Photovoltaic Array,Apr 21 2014 - 7:28pm,"April 22, 2014",Cornell University,,"March 19, 2014",http://www.sustainablecampus.cornell.edu/blogs/news/posts/abm-installing-2-mw-solar-plant-at-cornell-university,"The university's largest solar endeavor, the two-megawatt solar electric system will include 6,500-plus panels, 10 of which will be designated for academic use allowing students physical access to manipulate the panels and access to the web-based dashboard monitoring software.",Energy
North Carolina State U Spreads Homemade Mulch,Mar 25 2014 - 5:13pm,"April 1, 2014",North Carolina State University,,"March 20, 2014",http://sustainability.ncsu.edu/home/new-campus-made-mulch-cuts-costs-improves-sustainability,"A new pilot project between university Grounds Management and the Horticulture Field Labs has resulted in a new type of mulch blended from campus landscape debris and wood chips donated by a local tree company, which will result in cost savings and reduced greenhouse gas emissions associated with long-distance hauling and delivery.",Grounds
Arizona State U Building Receives LEED Gold,Mar 29 2014 - 1:06pm,"April 1, 2014",Arizona State University,,"March 20, 2014",https://asunews.asu.edu/20140320-polytechnic-fitness-complex-leed-gold,"The university's fitness complex features a solar pool heater and solar panels, and achieved a high number of points toward energy efficiency from design including a breezeway that was designed to funnel air to remove heat and provide shade.",Buildings
U Colorado Boulder Completes 290KW Photovoltaic Array,Mar 31 2014 - 11:05am,"April 1, 2014",University of Colorado Boulder,,"March 20, 2014",http://www.altenergymag.com/news/2014/03/20/panasonic-and-coronal-complete-second-solar-project-at-university-of-colorado-boulder/32795,The newly commissioned 290-kilowatt solar electric system on the main campus' sports arena will help the university meet its short-term goal of powering the campus with clean energy by reducing demand for grid electricity and cost while also fulfilling part of its long-term goal for a carbon-neutral campus.,Energy
Energy Dept Postdoctoral Research Awards,Mar 31 2014 - 3:48pm,"April 1, 2014",,U.S. Department of Energy,"March 20, 2014",http://www1.eere.energy.gov/education/postdoctoral/index.html,"The U.S. Department of Energy's Office of Energy Efficiency and Renewable Energy (EERE) is now accepting applications for postdoctoral researchers to conduct energy efficiency and renewable energy applied research at universities. The EERE Postdoctoral Research Award Program supports emerging scientific leaders focused on energy efficiency and renewable energy to help solve our nation’s energy challenges. This year, the program will offer up to five recent Ph.D. recipients the opportunity to conduct applied research projects to advance breakthrough solar energy technologies at universities, national laboratories and other research facilities. Deadline to apply is April 30.",Opportunities
U Maryland Partners for Expansion of Regional Public Transit,Apr 5 2014 - 6:03pm,"April 8, 2014","University of Maryland, College Park",,"March 20, 2014",http://www.umdrightnow.umd.edu/news/purple-line-communities-examine-opportunities-beyond-tracks,The university has partnered with local groups to create the Purple Line Corridor Coalition to tackle the economic and community development challenges and benefits of the first light rail line. The goal of the group is to guide expertise in active planning to ensure that the investment creates vibrant neighborhoods while preserving existing community assets.,Public Engagement
Angelo State U Introduces New Recycling Initiatives,Mar 31 2014 - 11:25am,"April 1, 2014",Angelo State University,,"March 21, 2014",http://www.asurampage.com/news/new-recycling-initiative-allows-community-service-while-saving-money-across-campus-1.3152330#.UzM-dK1dV28,"The university's Student Government Association partnered with other student organizations for Adopt-A-Hallway, a program designed to increase waste diversion, and new recycling-specific dumpsters have been placed across campus allowing for a more efficient diversion and pick up process.",Waste
Cirencester College Students Plant 650 Trees On Campus,Apr 17 2014 - 2:13pm,"April 29, 2014",,Cirencester College,"March 21, 2014",http://www.gloucestershireecho.co.uk/Cirencester-College-students-em-bark-tree-spree/story-20834060-detail/story.html,"(U.K.): As part of the college's initiative to reduce its carbon footprint and create an aesthetically-pleasing environment, the native species trees were planted to create a woodland area and two hedgerows.",Grounds
U Louisville Offers Car Sharing Service to Public,Mar 31 2014 - 5:44pm,"April 1, 2014",University of Louisville,,"March 24, 2014",http://wfpl.org/post/university-louisville-opens-car-sharing-program-local-residents,"In an effort to increase awareness of the university's car sharing program, it recently offered the service to the local community hoping to transition students and community members away from car use and toward publicly-owned transportation alternatives.",Transportation
U Maryland Procures Solar Panels Jointly,Apr 3 2014 - 7:46pm,"April 22, 2014","University of Maryland, College Park",,"March 24, 2014",http://www.diamondbackonline.com/news/article_fcaccca8-b302-11e3-8712-0017a43b2370.html,"Partnering with a local renewable energy-based nonprofit, seventeen university faculty and staff have recently signed up for a bulk purchase of photovoltaic panels.",Public Engagement
San Diego State U Bolsters Support for Diversity Achievement,Apr 5 2014 - 10:10pm,"April 8, 2014",San Diego State University,,"March 24, 2014",http://newscenter.sdsu.edu/sdsu_newscenter/news.aspx?s=74851,"A recent university program, Aztec Scholars, reaches out to potential African American and American Indian students offering them a community of support to help them through their college career and successful graduation.",Diversity & Inclusion
North Carolina State U EcoVillage Learns from Boston,Apr 9 2014 - 12:09pm,"April 15, 2014",North Carolina State University,,"March 24, 2014",http://housing.ncsu.edu/ecovillage-heads-north-to-learn-more-about-sustainability,"The living and learning group recently traveled to Boston to learn how the city embraces sustainability through its Greenovate Boston program. The trip included learning about sustainability at Harvard University, The Massachusetts Institute of Technology, Boston College and Boston Architectural College.",Co-Curricular Education & Student Organizing
Ursinus College to Form Sustainability Committee,Apr 21 2014 - 9:40pm,"April 22, 2014",Ursinus College,,"March 24, 2014",http://news.ursinus.edu/2014/academics/sustainability-committee-to-start-in-april/,"The new committee's primary mission will be to oversee the integration of sustainability into the life of the college and to help guide and oversee the implementation of the Climate and Sustainability Action Plan. Some of the subcommittees are tree care, sustainable student experience, sustainable facilities and energy conservation, and membership on the committees is open to campus members.",Coordination & Planning
Scotland Colleges and Universities Sign Carbon Commitment,Feb 27 2014 - 3:49pm,"March 25, 2014",,,"March 25, 2014",http://www.eauc.org.uk/scotland_working_towards_a_low_carbon_economy?utm_source=EAUC&utm_campaign=e4219bbf04-eNews+21+Feb+2014&utm_medium=email&utm_term=0_ee0ce3610d-e4219bbf04-296796529,"(U.K.): All universities and colleges across Scotland have committed to addressing climate change and carbon challenges by signing the Universities and Colleges Climate Commitment for Scotland (UCCCfS), which offers a framework for institutions to reduce greenhouse gas emissions.",Climate
2013 EAUC Green Gown Awards Case Studies,Mar 3 2014 - 12:35pm,"March 25, 2014",Environmental Association for Universities & Colleges,,"March 25, 2014",http://www.sustainabilityexchange.ac.uk/about/green-gown-awards/sharing-2013-excellence,"In an effort to promote dissemination of good practice, the Environmental Association of Universities and Colleges Sustainability Exchange now houses a brochure of case studies from all the 2013 Green Gown winners, highly commended entries and finalists.",New Resources
Education for Sustainability Listserv,Mar 19 2014 - 11:36am,"March 25, 2014",,Educational Developers Caucus,"March 25, 2014",https://listserv.uoguelph.ca/cgi-bin/wa?SUBED1=EDUCATIONSUSTAINABILITYACTIONGRP&A=1,"The new listserv is available to anyone interested in sustainability in teaching and learning in tertiary education. This new communication forum has been organized by the Action Group for Education for Sustainability, which is part of the Educational Developers Caucus. http://www.stlhe.ca/constituencies/educational-developers-caucus/edc-spe...",New Resources
Travel Grants Available to Northeast Climate Change Conference,Mar 19 2014 - 11:44am,"March 25, 2014","Antioch University, New England",U.S. Environmental Protection Agency,"March 25, 2014",http://www.antiochne.edu/innovation/climate-change-preparedness/travel-grants/,"Participants from Connecticut, Delaware, New Jersey, New York, Pennsylvania, and Rhode Island are now eligible for travel grants of up to $500 per individual to the Northeast Climate Change Preparedness Conference. The conference is designed for participants from throughout the region to learn how to better prepare for severe weather and climate change impacts in the Northeast.",Opportunities
USGBC 2013 Report Card,Mar 19 2014 - 12:14pm,"March 25, 2014",U.S. Green Building Council,,"March 25, 2014",http://centerforgreenschools.org/Libraries/Graphics/CFGS_Year_End_Report_2013_FINAL.sflb.ashx,The recently released infographic from the U.S. Green Building Council provides a snapshot of green building involvement from the higher education community. It catalogs the number of students who attend institutions with green building policies and the amount of people-hours dedicated in support of green building.,New Resources
Southeastern EcoReps Conference Presentations,Mar 19 2014 - 12:24pm,"March 25, 2014",University of South Carolina,,"March 25, 2014",http://southeasternecorepsconference.wordpress.com/past-presentations/,"After the recent eco-reps conference held by the University of South Carolina, the school has made all the presentations available from the 2014 conference as well as the 2013 and 2012 events. Presentations from 2014 include communicating sustainability, bike sharing, investments, eco-reps training and waste diversion.",New Resources
U Edinburgh Joins Electronics Watch,Mar 24 2014 - 6:20pm,"March 25, 2014",University of Edinburgh,,"March 25, 2014",http://www.ed.ac.uk/about/sustainability/includes/news-includes/responsible-electronics-march-2014,"(U.K.): The university will now encourage electronics suppliers to disclose factory locations so that labor conditions can be monitored by thematic research, factory surveys and investigative reports.",Purchasing
Australia National U Releases Mobile Energy & Water App,Mar 24 2014 - 6:32pm,"March 25, 2014",Australian National University,,"March 25, 2014",http://sustainability.anu.edu.au/student-life/green-accommodation/green-key,"(Australia): The newly released app allows on-campus residents to self-evaluate lighting, electricity, heating and water consumption in their rooms.",Co-Curricular Education & Student Organizing
U Wisconsin Green Bay Begins Plastic Film Recycle Collection,Mar 29 2014 - 12:37pm,"April 1, 2014",University of Wisconsin-Green Bay,,"March 25, 2014",http://www.fourthestatenewspaper.com/news/2014/03/25/new-recycling-program-hits-uwgb/,The university recently initiated the collection of plastic film to further its waste reduction efforts after a student brought forth the idea from having helped the local hospital reduce its plastic film waste stream.,Waste
U North Carolina Pembroke Hires First Sustainability Director,Mar 29 2014 - 12:56pm,"April 1, 2014","University of North Carolina, Pembroke",,"March 25, 2014",http://www.laurinburgexchange.com/news/news_education/3974092/Jay-Blauser-hired-as-UNCPs-first-director-of-sustainability,"Jay Blauser will assist university efforts to reach carbon neutrality, grow some of its food, create efficiencies in water and electricity use, and integrate sustainability into curriculum.",Coordination & Planning
Wake Technical CC Builds New Walkways,Apr 3 2014 - 8:35pm,"April 8, 2014",Wake Technical Community College,,"March 25, 2014",http://www.waketech.edu/news/wake-tech-strengthens-commitment-sustainability-two-new-pedestrian-walkways%23.UzR5AKhdWSo#.Uz4LHK1dV28,"Two new walkways were constructed that will alleviate shuttle transportation, preventing associated greenhouse gas emissions from entering the atmosphere, and encourage a healthier lifestyle.",Climate
