Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
2010 Green Building in Higher Education Fellowships,Jan 28 2010 - 12:16pm,2/1/10,,,"January 1, 2010",http://campusgreenbuilder.org/node/26,"The Kresge Fellowship Program within the Advancing Green Building in Higher Education Initiative will provide free registration, accommodations, and travel expenses (up to $2000/fellow) for fellows to attend one national green building-related conference. As part of the program, Second Nature will award fellowships to 25 university executives who will learn the skills and technical information they need to be effective champions for green building at their own under-resourced campuses. Schools that have received Title III/V designation from the Department of Education are invited to apply. Senior Managers of colleges and universities including campus planners, facilities directors, or vice presidents of finance and business are eligible for the fellowships through which they will take part in learning and networking opportunities, such as AASHE's 2010 Conference and the U.S. Green Building Council’s Greenbuild Conference 2010.  Applications are due March 15, 2010.",Opportunities
Call for Papers - Journal of Sustainability Education,Jan 28 2010 - 12:34pm,2/1/10,,,"January 1, 2010",http://www.journalofsustainabilityeducation.org/ojs/index.php/jse/announcement/view/1,"The Journal of Sustainability Education invites paper submissions for its inaugural issue, ""Emerging Themes in Sustainability Education.""  Workers from any discipline with a connection to sustainability and education are encouraged to submit.  The deadline for submissions is February 15, 2010.",Opportunities
Warren Wilson College Trains City Employees in Energy Efficiency,Jan 28 2010 - 12:44pm,2/1/10,,,"January 1, 2010",http://www.mountainx.com/blogwire/2010/asheville_city_employees_partner_with_warren_wilson_college_for_energy_trai,"Warren Wilson College (NC) has partnered with the City of Ashville to help train its employees to evaluate and improve building energy efficiency.  WWC held a week-long Home Energy Rating Systems training program, during which 20 employees learned how to utilize diagnostic equipment and software to conduct energy analyses. Participants also learned practices for increasing energy efficiency.  The 16 building inspectors who participated in the training can now serve as energy efficiency ambassadors and the four building maintenance employees who participated will be able to help reduce municipal energy expenditures.",Public Engagement
New Book: Teaching Environmental Literacy,Jan 28 2010 - 2:32pm,2/1/10,,,"January 1, 2010",http://www.iupress.indiana.edu/catalog/product_info.php?isbn=978-0-253-22150-6,"The Indiana University Press has published Teaching Environmental Literacy - Across Campus and Across the Curriculum .  The book covers what an environmentally literate citizen should know; what teaching and learning strategies are most effective in helping students think critically about human-environment interactions and sustainability; and the critical content, skills, and affective qualities essential to environmental literacy.",New Resources
"People, Ecology and Development Study Abroad Program - Thailand",Jan 28 2010 - 4:14pm,2/1/10,,,"January 1, 2010",http://www.isdsi.org/,"The International Sustainable Development Studies Institute is now accepting applications for its Fall 2010 and Spring 2011 People, Ecology and Development study abroad semester in Thailand. Designed in partnership with local communities, courses focus on sustainable development by experientially studying the link between culture and ecology. Students will be learning from local activists and village elders, backpacking into remote Karen villages, and sea kayaking and skin diving the reefs and mangroves of Southern Thailand.  Summer internships with Thai NGOs are also available for spring semester participants. The Fall 2010 semester deadline is March 15, 2010, and the spring 2011 semester deadline is September 15, 2010.",Opportunities
Cleantech Group Names Top 10 Universities to Promote Renewables,Feb 10 2010 - 4:04pm,2/15/10,,,"January 4, 2010",http://cleantech.com/news/5384/top-10-cleantech-universities-us,"Cleantech Group has published a list of the top 10 U.S. academic institutions best suited to develop new technology and related business models that offer competitive returns for investors and customers while providing solutions to global challenges.  The top 10, in order, are: Massachusetts Institute of Technology, University of California at Berkeley, University of Texas at Austin, Stanford University (CA), University of Michigan, University of Colorado at Boulder, University of Wisconsin-Madison, Cornell University (NY), Georgia Institute of Technology, and Washington State University.",Assessments & Ratings
Aquinas College Announces Sustainable Business Certificate,Feb 17 2010 - 5:00pm,2/22/10,,,"January 4, 2010",http://www.wgvu.org/wgvunews/index.cfm?id=sdetail&sty=5428,"Aquinas College (MI) has announced a new certificate in sustainable business. The certificate will teach students about energy conservation, corporate social responsibility, cap and trade, and the triple bottom line.  Those that qualify can take the courses for free through the state's no worker left behind program.",Curriculum
U Vermont Ctr for Rural Studies Receives Sustainable Foods Grant,Jan 15 2010 - 10:11am,1/18/10,,,"January 5, 2010",http://www.uvm.edu/~uvmpr/?Page=News&storyID=15704,"The University of Vermont’s Center for Rural Studies has received a grant for $228,410 to address program goals in the study of local and regional food system issues, community problem-solving, entrepreneurship assistance, and community-level information resources for Vermonters.  A number of workshops will be held to provide technical assistance to food entrepreneurs, as well as to help set up local networks.",Funding
Georgetown U Fuels Fleet with Biodiesel,Jan 15 2010 - 10:46am,1/18/10,,,"January 5, 2010",http://explore.georgetown.edu/news/?ID=47635,Georgetown University (DC) has begun to use blended biodiesel in its fleet of GU Transportation Shuttle buses and other staff vehicles in an effort to reduce its carbon foot print 50 percent by 2020. The University currently uses a B20 blend.,Transportation
California Polytechnic State U Recognized for Commuting,Jan 15 2010 - 11:07am,1/18/10,,,"January 5, 2010",http://mustangdaily.net/cal-poly-wins-gold-as-best-workplace-for-commuters/,"The California Polytechnic State University has been awarded a gold medal for Best Workplace for Commuters. Amenities such as 11 vans for van pooling, showers for bike commuters, and car-share programs like Zipcar were all part of the University winning the award. The University of Southern Florida’s National Center for Transit Research awarded 27 companies, institutions, and individuals around the country for their commuting efforts. Also recognized was Stanford University (CA) and Virginia Tech.",Transportation
U Delaware to Establish Energy & Env'l Policy Ctr in South Korea,Jan 15 2010 - 2:06pm,1/18/10,,,"January 5, 2010",http://www.udel.edu/udaily/2010/jan/mou010510.html,"The University of Delaware has signed an agreement with the Daegu-Gyeongbuk Free Economic Zone Authority to establish the UD Center for Energy and Environmental Policy campus in Daegu, South Korea. The agreement will allow for the development of multilateral relations and an exchange of scientific ideas. Collaborative research in the field will be conducted at the new campus.",Research
U Texas Arlington Hires Sustainability Director,Jan 21 2010 - 12:42pm,1/25/10,,,"January 5, 2010",http://www.uta.edu/ucomm/mediarelations/press/2010/01/Sustainability-director-hired.php,"The University of Texas at Austin has named Meghna Tare as its first director of sustainability.  Tare holds a master's degree in environmental studies from San Jose State University (CA) and a master's degree in chemistry from the University of San Francisco (CA). She was an environmental manager with the city of Dallas' Office of Environmental Quality for the past three years and has taught environmental studies at California State University at Hayward and worked at Stanford University (CA) with the Institute of Environmental Science and Policy.  Her duties include initiating and coordinating programs in utility efficiency and management, carbon foot print reduction, recycling and waste reduction, transportation, environmentally preferable purchasing, and much more.",Coordination & Planning
U Wisconsin Oshkosh Implements 100% Recycled Paper Policy,Jan 9 2011 - 4:45pm,1/10/2011,,,"January 5, 2010",http://www.uwosh.edu/today/8117/recycled-paper/,"The University of Wisconsin, Oshkosh has announced its switch from 30 percent post-consumer recycled bond to 100 percent recycled paper on campus. The first reams have been distributed and are expected to save about 1,100 trees per year. The university's Campus Sustainability Council is working with departments across campus to reduce paper consumption by 5 percent to make the initiative budget neutral and increase paper consumption awareness.",Waste
Olympic College to Train Energy Auditors,Jan 15 2010 - 11:40am,1/18/10,,,"January 6, 2010",http://www.kitsapsun.com/news/2010/jan/06/olympic-college-lands-a-grant-to-train-home/,Olympic College (WA) has received a $3.9 million grant in federal funds to help create green jobs. The College will use the funds to train individuals to conduct energy audits and weatherize homes and businesses. There are nearly a dozen other organizations partnering with the College to help carry out this training.,Curriculum
Riverland CC Offers Solar Installer Certificate,Jan 15 2010 - 11:13am,1/18/10,,,"January 6, 2010",http://www.albertleatribune.com/news/2010/jan/06/riverland-offer-solar-installer-program/,"Riverland Community College (MN) has begun offering new classes for students interested in solar installation. The new solar installer certificate will train students in the electrician program to specialize in installing, repairing, and evaluating sights for solar panels.",Curriculum
California State U Bakersfield Hosts E-Waste Event,Jan 15 2010 - 11:21am,1/18/10,,,"January 6, 2010",http://www.bakersfield.com/news/local/x113239020/CSUB-to-host-e-waste-event,"California State University, Bakersfield is hosting an e-waste event at the end of January to collect electronic waste from the surrounding community. Electronic items often contain hazardous elements, such as lead or mercury, and providing an event for citizens to recycle these items, helps keep them from landfills.",Waste
"Suffolk U Buys Biodegradable Cutlery, Begins Composting Program",Jan 28 2010 - 12:09pm,2/1/10,,,"January 6, 2010",http://www.suffolk.edu/offices/39834.html,The Suffolk University (MA) Sustainability Committee has worked with its dining company to purchase biodegradable cutlery and straws and has launched a composting program in its dining hall.  Student volunteers will be available to raise awareness about how to participate.  The organics will be stored in air-tight containers and regularly delivered to an area farm to be turned into compost and sold.,Waste
"Suffolk U Buys Biodegradable Cutlery, Begins Composting Program",May 13 2010 - 3:11pm,1/11/10,,,"January 6, 2010",http://www.suffolk.edu/offices/39834.html,The Suffolk University (MA) Sustainability Committee has worked with its dining company to purchase biodegradable cutlery and straws and has launched a composting program in its dining hall. Student volunteers will be available to raise awareness about how to participate. The organics will be stored in air-tight containers and regularly delivered to an area farm to be turned into compost and sold.,Waste
Emory U Structure Receives LEED Gold,Jan 13 2010 - 2:55pm,1/18/10,,,"January 7, 2010",http://shared.web.emory.edu/emory/news/releases/2010/01/emorys-goizueta-foundation-center-strikes-gold.html,"The Emory University (GA) Goizueta Foundation Center, a classroom and administration building for the business school, has received LEED Gold certification.  The 101,920-square-foot building contains low-flow fixtures that reduce water use by 20 percent, an underground cistern to capture storm water that will be used to irrigate campus plantings, and a protective tree save area.  50 percent of the building material used during construction was made from recycled content, and 86 percent of the construction waste was diverted from local landfills.",Buildings
Santa Clara U Brings Car-Sharing to Campus,Jan 15 2010 - 10:43am,1/18/10,,,"January 7, 2010",http://www.scu.edu/news/?b=208&c=6274,"Santa Clara University (CA) students, faculty, and staff will now be able to choose from two communal cars provided by Zipcar on campus. The vehicles are available to those in need of transportation 24 hours a day, seven days a week. Gas, insurance, 180 free miles, reserved parking spots at SCU, and roadside assistance are included in the rates.",Transportation
Southwestern U to be Powered 100% by Wind,Jan 15 2010 - 3:31pm,1/18/10,,,"January 7, 2010",http://www.southwestern.edu/newsroom/story.php?id=1992,"Southwestern University (TX) has signed an agreement with the City of Georgetown that will enable the institution to meet all of its electric needs with wind power for the next 18 years. Wind-generated power will be provided by the City of Georgetown through an agreement with AEP Energy Partners, a subsidiary of American Electric Power. The electricity will come from the Southwest Mesa and South Trent Wind Farms in West Texas. These two wind farms have a total of 151 wind turbines, each of which can generate between 0.7 to 2.3 megawatts of electricity.",Energy
Marshall U Hires Recycling Coordinator,Feb 3 2010 - 4:23pm,2/8/10,,,"January 7, 2010",http://www.marshall.edu/www/pressrelease.asp?ID=1832,"Marshall University (WV) has hired Elizabeth Rutherford to be the campus' new recycling coordinator. Housed in the Sustainability Department, Rutherford will work with eight student recyclers to manage daily pickups from new recycling pods across campus. Rutherford will also work to promote recycling and sustainability on campus.",Coordination & Planning
5 Campuses Announce New Ride-Sharing Programs,Jan 13 2010 - 3:20pm,1/18/10,,,"January 8, 2010",http://zipcar.mediaroom.com/index.php?s=43&item=173,"The University of California, Irvine; University of California, Berkeley; University of San Francisco (CA); University of Maryland; and George Mason University (VA) have launched an integrated car and ride sharing application on their campuses.  The integrated Zipcar-Zimride application allows members to share a ride by posting the date, time, and destination of the trip to the Zimride campus community. Once posted, Zimride's route algorithm finds and notifies users looking for a ride to the same or nearby destination. Zimride members also may find and share a local Zipcar if a posted ride is not available or does not exist. The campuses hope to reduce congestion, parking demand, and CO2 emissions while at the same time providing a cost-saving and convenient alternative to car ownership for faculty, staff, and students.",Transportation
Stony Brook U to Host Renewable Energy Research Center,Jan 14 2010 - 12:11pm,1/18/10,,,"January 8, 2010",http://sb.cc.stonybrook.edu/happenings/?p=1589,"Stony Brook University and the New York Power Authority (NYPA) has announced that SBU will host the Advanced Energy Center (AEC), which will support efforts to advance innovative energy research, education, and technology deployment with a focus on efficiency, conservation, and renewable energy. The commitment by NYPA includes $500,000 to support the operations of the AEC.  Construction of the AEC building is expected to be completed by fall 2010.",Research
Ohio U Beyond Coal Members Protest Use of Coal on Campus,Jan 12 2011 - 7:13pm,01/18/2011,,,"January 8, 2010",http://ht.ly/3BbeW,"Representatives from Ohio University Beyond Coal gathered recently to protest the university's use of coal energy. The gathering was held in anticipation of a meeting between university officials and the Natural Resources Defense Council (NRDC) and Sierra Club this month, during which the fate of the university's coal heating plant will be discussed. Proposed alternatives include natural gas and geothermal power.",Energy
U Kansas Receives $12M Grant to Build Green Technologies Facility,Jan 15 2010 - 10:38am,1/18/10,,,"January 9, 2010",http://www.news.ku.edu/2010/january/8/engineering.shtml,"The University of Kansas School of Engineering has received a $12.3 million from the National Institute of Standards and Technology Construction Grant Program to build a green technologies research facility. The 34,600-square-foot Measurement, Materials, and Sustainable Environment Center, which will aim for LEED certification, will house research projects on the development of biofuels; remote sensing technologies used to monitor polar ice and glaciers; and development and testing laboratories for commercial avionics, sustainable materials, and advanced research in materials fracture and fatigue. The University must raise $6.5 million in matching funds for the project, which will total $18.8 million.",Research
Chronicle of Higher Ed Covers Pressure Faced by Coal Campuses,Jan 13 2010 - 3:59pm,1/18/10,,,"January 10, 2010",http://chronicle.com/article/The-Coal-Conundrum/63459/,"The Chronicle of Higher Education has published an article on the pressure faced by coal-burning campuses to convert to renewable fuels. Higher education institutions mentioned include: Pennsylvania State University; University of Wisconsin, Madison; Binghamton University (NY); University of Minnesota-Twin Cities; University of Southern California; University of North Carolina, Chapel Hill; Duke University (NC); Virginia Tech; Ohio State University; University of Manitoba; and Ball State University (IN).",Energy
Cornell U Sets Goal to Become Coal-Free,Jan 15 2010 - 11:03am,1/18/10,,,"January 10, 2010",http://www.theithacajournal.com/apps/pbcs.dll/article?AID=20101100336,"Cornell University (NY) has finished a new Combined Heat and Power Plant, which uses mainly natural gas, that will help the institution move away from using coal by mid-2011. The plant will not only provide electricity, but the extra heat will be used to keep buildings warm. The new plant is expected to reduce the University's carbon footprint by almost 30 percent.",Energy
"Debut Issue of Sustainability Accounting, Mgmt and Policy Journal",Jan 7 2011 - 2:14pm,1/10/2011,,Emerald Group Publishing Limited,"January 10, 2010",http://www.emeraldinsight.com/journals.htm?issn=2040-8021&volume=1&issue=1,"The inaugural issue of the Sustainability Accounting, Management and Policy Journal explores whether social accounting might become a multidisciplinary field, whether market participants see value in the publication of sustainability reports and how human rights' values influence the development of social responsibility practice. New from Emerald Group Publishing Limited, the journal features articles geared toward practitioners, policymakers and researchers.",New Resources
U Massachusetts Medical School Adds More Carpool Parking Spots,Jan 9 2011 - 1:08pm,1/10/2011,,,"January 10, 2010",http://www.umassmed.edu/Growing_Green/Newsletter/December2010/Car_Pooling.aspx,"Due to the growing popularity of its carpool program, the University of Massachusetts Medical School will add 20 more parking spaces for the exclusive use of carpoolers. With nearly 400 carpoolers and growing, the university now has a waiting list for its carpool tags.",Transportation
National Wildlife Federation Seeks Young Leader Delegates,Jan 9 2011 - 4:55pm,1/10/2011,,,"January 10, 2010",http://polldaddy.com/s/76C8BE36CA039DB7,"The National Wildlife Federation (NWF) invites applications from young leaders to serve as a delegate to its 75th anniversary annual meeting in April 2011. Young leader delegates will help strategize ways to bring young voices and energy to the conservation movement and will be charged with drafting a charter that will govern the engagement of young leaders working with NWF and its sister organizations. Applications will be accepted through Feb. 7, 2011.",Opportunities
Agnes Scott College Receives Grant for Green Initiatives,Jan 13 2010 - 3:29pm,1/18/10,,,"January 11, 2010",http://www.agnesscott.edu/news/newsDetails.aspx?Channel=%2fChannels%2fAdmissions%2fAdmissions+Content&WorkflowItemID=d0805022-754a-4507-b7dd-f206974da7a1,"Agnes Scott College (GA) has received a $150,000 grant from the Jessie Ball duPont Fund to continue and expand its efforts to become more sustainable. The grant will be used to fund a sustainability fellow position, install real-time utility trackers in several residence halls, and an energy audit that will provide a detailed assessment of the College’s energy use.",Funding
Mississippi State U Completes Successful Trial Recycling Program,Jan 15 2010 - 11:27am,1/18/10,,,"January 11, 2010",http://www.msstate.edu/web/media/detail.php?id=4773,"Mississippi State University has completed a recycling trial with three local companies that was determined a success, and a full scale program will begin soon. Over the three-month period, 75,000 pounds of recyclables were collected from the 27 campus buildings where the trial was conducted.",Waste
William Paterson U to Install 3.5 MW Solar Array,Jan 20 2010 - 1:46pm,1/25/10,,,"January 11, 2010",http://solar.coolerplanet.com/News/19551438-new-jersey-university-agrees-to-3.5-mw-energy-panel-constructions.aspx,"William Paterson University (NJ) has reached an agreement with Nautilus Solar Power and SunDurance Energy to install a 3.5 MW solar array. The project, which will include the installation of solar panels on the rooftop and parking lot of the campus, will initially aim to generate three megawatts of solar power with the completion of its first phase this summer. The second part of the project, which will add another 500 kilowatts, is currently scheduled to go online sometime in 2011.The school estimates that it will save $4.3 million in energy costs over the next 15 years.",Energy
Marshall U Hands Out Reusable Water Bottles,Jan 20 2010 - 5:03pm,1/25/10,,,"January 11, 2010",http://wowktv.com/story.cfm?func=viewstory&storyid=73218,"Marshall University's (WV) Sustainability Department handed aluminum water bottles out to students in an effort to reduce waste and promote recycling. The Department, which was created by a student green fee, hopes to distribute 6,000 bottles in the near future.",Waste
Campus Sustainability Planning: A January Update,Jan 12 2011 - 8:11pm,01/18/2011,,,"January 11, 2010",http://www.princeton.edu/reports/2010/sustainability/,"Three institutions have reported the completion of 2010 sustainability progress reports to the AASHE Bulletin in the recent past. Princeton University (NJ) outlines its progress in the areas of greenhouse gas emissions reduction, resource conservation, research, education and civic engagement. Through direct local reductions, the university is set to reduce its carbon dioxide emissions to 1990 levels by 2020. Pomona College (CA) reports progress toward campus reduction of water use, landfill waste and fertilizer use. The University of Massachusetts Dartmouth has published its third annual sustainability report, researched and compiled by MBA students as part of an experiential learning assignment in a business law and corporate responsibility class. In related news , the University of Iowa has announced goals to become a net-negative energy consumer, reach 40 percent renewable energy consumption and divert 60 percent of its waste by 2020 in its ""2020 Vision"" sustainability plan.",Coordination & Planning
Weber State U Launches Free Tuition Program,Jan 15 2010 - 3:35pm,1/18/10,,,"January 12, 2010",http://www.weber.edu/WSUToday/011210dreamweber.html,"Weber State University (UT) has launched a program to provide free tuition to Utah residents whose annual household income is equal to or less than $25,000 and who are Pell Grant eligible. The goal of ""Dream Weber"" is to make higher education accessible to students from socioeconomic backgrounds that wouldn’t typically pursue higher education because of a lack of financial resources. The program is made possible through private donations designated for scholarships for under-served populations with acute financial need. These private donations, combined with federal and state financial aid funds, will finance the program, which will begin in the fall of 2010.",Affordability & Access
Grand Valley State U Begins Composting Program,Jan 15 2010 - 3:51pm,1/18/10,,,"January 12, 2010",http://www.gvsu.edu/gvnow/index.htm?articleId=23EDF1F7-9540-E1AB-FE4077358EAAC61C,"Grand Valley State University (MI) has implemented a composting program to help the campus reduce its landfill waste.  Two of Grand Valley's dining locations now offer guests the opportunity to compost food waste, serviceware, and packaging. Posters hang above receptacles to indicate items that can be placed into ""landfill"" and ""composting"" bins. The collection receptacles are lined with biodegradable bags. Bags are transferred to separate collection points for recycling, composting, and landfill.",Waste
U King's College Student Named Rhodes Scholar,Jan 28 2010 - 12:58pm,2/1/10,,,"January 12, 2010",http://www.metronews.ca/toronto/learn/article/419230--king-s-college-student-joins-the-ranks-of-rhodes-scholars,"A University of King's College (NS) student, Rosanna Nicol, has been named a Rhodes Scholar. As a scholar she will spend at least two years at Oxford University in England conducting post-graduate study. Nicol has always been interested in refugee and sustainability issues and plans to focus her thesis on how socially responsible investing can create capital flow to areas in need.",Other News
U Central Oklahoma Starts Car-Share Program,Feb 2 2010 - 2:18pm,2/8/10,,,"January 12, 2010",http://broncho2.uco.edu/press/prdetail.asp?NewsID=8906&Weight=5,"The University of Central Oklahoma has started a car-share program for students, faculty, and staff. The program aims to reduce campus traffic congestion, offer mobility to commuters, and reduce pollution.  The program offers four 2010 vehicles: a Toyota Prius, Ford Escape, Mazda 3, and Toyota Camry. The program is in partnership with Hertz and is called ""Connect by Hertz.""",Transportation
U King's College Student Named Rhodes Scholar,May 13 2010 - 3:16pm,1/11/10,,,"January 12, 2010",http://www.metronews.ca/toronto/learn/article/419230--king-s-college-student-joins-the-ranks-of-rhodes-scholars,"A University of King's College (NS) student, Rosanna Nicol, has been named a Rhodes Scholar. As a scholar she will spend at least two years at Oxford University in England conducting post-graduate study. Nicol has always been interested in refugee and sustainability issues and plans to focus her thesis on how socially responsible investing can create capital flow to areas in need.",Other News
"Wilfrid Laurier U Opens Sustainability Office, Hires Coordinator",Jan 15 2010 - 3:20pm,1/18/10,,,"January 13, 2010",http://www.thecord.ca/articles/24572,"Wilfrid Laurier University (ON) has opened an office on campus devoted to environmental sustainability initiatives and has hired a sustainability coordinator.  The office, which was created with funding from the student green fee, will work with students, faculty, staff, and alumni to improve Laurier's environmental impact.  The University has hired Sarah English to head the new office.  As the campus' first sustainability coordinator, English will seek to enable communication and foster collaboration between student, staff, and faculty environmental initiatives on campus.  English is a recent graduate from the University of Waterloo where she received a BES in Environmental Planning, led a student alternative transportation group, and sat on the board of the UW Sustainability Project.",Coordination & Planning
Bowdoin College Health & Fitness Center Awarded LEED Silver,Jan 15 2010 - 3:54pm,1/18/10,,,"January 13, 2010",http://www.bowdoin.edu/news/archives/1bowdoincampus/006995.shtml,"The Buck Center for Health and Fitness at Bowdoin College (ME) has earned LEED Silver certification.  The building contains several green performance elements, including energy-efficient lighting and water fixtures, certified wood, and eco-friendly furniture and carpeting, as well as water-efficient landscaping.",Buildings
Harvard U Lab Achieves LEED Gold for Commercial Interiors,Jan 15 2010 - 4:01pm,1/18/10,,,"January 13, 2010",http://green.harvard.edu/node/626,"The Harvard University (MA) Faculty of Arts and Sciences’ Schreiber Lab has achieved LEED Gold for Commercial Interiors version 2.0.  A renovation of the 1,700-square-foot chemistry lab was completed in the summer of 2008.  Energy-saving features include: high-performance, variable air volume fume hoods; occupancy sensors that will turn off the overhead lighting and setback ventilation rates and temperature setpoints when a space is unoccupied; and commissioning of mechanical and electrical systems by a third-party. In addition, the project utilized salvaged office and classroom furniture from storage areas within the Cabot Chemistry Complex.  38 percent of the total value of materials used in the project came from materials with recycled content and 80 percent of the construction waste was diverted from landfills to recycling facilities.",Buildings
Elon U Conducts Sustainability Assessment with EPA System,Jan 20 2010 - 11:48am,1/25/10,,,"January 13, 2010",http://www.elon.edu/pendulum/Story.aspx?id=3126,"Elon University (NC) has begun a sustainability assessment with the Environmental Management System, a tool promoted by the Environmental Protection Agency's (EPA) Colleges and Universities Sector Group. The EMS program allows colleges to identify and rank environmental aspects in order to develop new goals and procedures. Students and staff are analyzing environmental factors in each department to determine where they can cut down on waste and conserve more.",Coordination & Planning
