Title,Post date,Date; time,Issues,Institution(s),Other Organization(s),URL,Body,All terms
Educational Practices for Green Building and Conservation Webinar,2012-02-20,"Feb. 21, 2012; 10:00 a.m. Eastern",2/21/2012,,,http://rtsinc.adobeconnect.com/greenbuilding/,"Representatives of the Trans-Atlantic Technology & Training Alliance and Alliance for Sustainability who traveled to Denmark last year to learn about educational practices for green building and conservation will describe what they learned and how it might inform practice in the U.S. and other European countries. Speakers from the host college in Denmark, Northeast Wisconsin Technical College, Cleveland State Community College and West Virginia University-Parkersburg, West Virginia will be present.",Events
Good Jobs-Green Jobs Conference,2012-02-15,February-May 2012,2/21/2012,,Blue-Green Alliance,http://www.greenjobsconference.org/,"Higher education institutions are invited to participate at four locations in the national Good Jobs-Green Jobs Conference. Sponsored by the Blue-Green Alliance, workshops will cover topics including workforce development, clean energy manufacturing, transportation infrastructure investments, emerging green sectors and the financial tools needed to build the green economy. The conference kicks off in Atlanta with following events in Los Angeles, Philadelphia and Detroit.",Events
Incorporating Sustainability into the Student Experience Webinar,2012-02-10,"Feb. 24, 2012; 9:00 a.m. Eastern",2/14/2012,,Global Business School Network,https://www3.gotomeeting.com/register/183115518,"Giselle Weybrecht, author of ""The Sustainable MBA: The Manager's Guide to Green Business,"" will explain the role of management education in increasing sustainability and present best practice examples of how to embed sustainability into the student experience in this webinar. Presented by the Global Business School Network, this event will provide ideas for increasing an institution's attractiveness to top students and strengthening its programs.",Events
2nd Annual Green Schools National Conference,2012-01-11,"Feb. 27-29, 2012",1/17/2012,,"AASHE, Green Schools National Network",http://www.greenschoolsnationalconference.org/index.php,"U.S. Secretary of Education Arne Duncan is the keynote speaker for this upcoming national gathering of K-12 leaders and educators. With support from AASHE, this ""take notice"" conference is at the center of a national movement to send a clear message that green is the future of our schools. Administrators will save $60 and teachers $25 on registration with AASHE discount code: aashehighered. For more information, visit AASHE's Campus Sustainability Calendar.",Events
"NWF Campus Ecology Webinar: Green Jobs, Safe Jobs",2012-02-8,"Feb. 28, 2012; 2:00 p.m.",2/14/2012,,,http://online.nwf.org/site/Calendar?id=105801&view=Detail,"As part of its Greener Campus Conference series, National Wildlife Federation's Campus Ecology program will host the webinar, ""Green Jobs, Safe Jobs."" The series invites leading practitioners to speak on conservation and other sustainability topics, with a forum for questions and discussion. This webinar will cover occupational safety and health hazards within the green jobs movement; national goals for moving forward with safe, green jobs; and what is being done in the wind industry to make jobs safe.",Events
STARS Webinar: STARS 1.2 and STARS Reporting Tool Enhancements,2012-02-8,"Feb. 28, 2012; 2:00 p.m. Eastern",2/28/2012 2/14/2012,,AASHE,https://www2.gotomeeting.com/register/645844474,"This webinar will give an overview of the changes to the STARS Reporting Tool, highlight its new functions and explain how it is different from the Campus Sustainability Data Collector. Attendees will see new functionalities for documenting the institutional boundary, submitting Innovation Credits and working in the newly added and optional supplemental section, where institutions are able to report additional data and share it with The Princeton Review, Sierra magazine and the Sustainable Endowments Institute.",Events
First Annual Climate Leadership Conference,2011-12-7,"Feb. 29 - March 1, 2012",12/20/2011,U.S. Environmental Protection Agency,,http://climateleadershipconference.org/,"The U.S. Environmental Protection Agency is sponsoring this first annual Climate Leadership Conference to bring together leaders from academic institutions, businesses, government and the nonprofit community to exchange ideas and information on how to address climate change while simultaneously running their operations more competitively and sustainably. The inaugural Climate Leadership Awards will also be presented during the conference.",Events
ACUPCC Southwest Regional Collaborative Symposium,2011-12-7,"March 1-2, 2012",1/24/2012 12/20/2011,Second Nature,,http://www2.presidentsclimatecommitment.org/regional-symposium-asu/,"This American College & University Presidents' Climate Commitment (ACUPCC) Regional Symposium is designed to foster collaboration among ACUPCC signatories who are facing similar challenges and opportunities in the Southwest region. Hosted by Arizona State University, the symposium will focus on making progress in a weak economy and addressing the unique needs of minority-serving and underserved institutions. Early bird registration ends Jan. 25, 2012.",Events
Responsible Endowments Coalition Effective Committees Workshop,2012-01-19,"March 2, 2012",1/24/2012,,,http://www.endowmentethics.org/effective-committees-workshop,"Co-hosted by Loyola University Chicago, this Responsible Endowments Coalition annual event will cover best practices for committee composition and operations; strategies for working processes and effective dialogue with stakeholders; proxy voting issues; fund manager engagement strategies; and responsible investment trends. Higher education trustees, administrators, students and all members of committees on responsible investment who want to optimize the responsible management of their endowment portfolio are encouraged to attend this day of panels, presentations and networking opportunities. Early bird registration ends Feb. 1, 2012.",Events
BuildingEnergy Conference and Trade Show,2012-02-1,"March 6-8, 2012",2/7/2012,,Northeast Sustainable Energy Association,http://www.nesea.org/be12/,"This year's BuildingEnergy Conference and Trade Show will feature a track that focuses on sustainability in higher education green building. Organized by the Northeast Sustainable Energy Association, the event brings the green building sector together for learning and networking.",Events
SEED Center Webinar: Real Jobs in the Clean Economy,2012-02-28,"March 6, 2012; 1:00 p.m. Eastern",3/6/2012,,,http://www.theseedcenterwebinars.net/view/5001203747637225001/info?utm_source=2012-06-06+Webinar_Employer+Partnerships+Promoting+a+Green+Economy&utm_campaign=2012-03-06+Webinar+Partnerships&utm_medium=email,"The American Association of Community Colleges' (AACC) Sustainability Education & Economic Development Center (SEED) is presenting this ""Community College and Employer Partnerships: Real Jobs in the Clean Economy"" webinar. Presenters from Georgia Piedmont Technical College and the Kele Corporation will detail how to develop career pathways and design curriculum for workers learning how to manipulate new energy-efficient technology.",Events
CURC Webinar: College Recycling Processing Equipment & Vehicles,2012-02-15,"March 8, 2012; 1:00 p.m. Eastern",2/21/2012,,College and University Recycling Coalition,https://www1.gotomeeting.com/register/321811449,"Hosted by the College and University Recycling Coalition (CURC), this webinar will identify ways to maximize efficiencies through processing equipment and vehicles; discuss which types of trucks are best suited to collect which materials; evaluate the pros and cons of different types of processing equipment; and review the factors driving the decision process to purchase or contract out vehicles and equipment necessary for pre-processing, bailing and processing materials.",Events
National Community College Sustainability Conference,2011-12-15,"March 11-13, 2012",2/28/2012 1/31/2012 12/20/2011,,,http://blogs.jccc.edu/sustainability/events/cc-v2/,"Hosted by Johnson County Community College (KS), ""CC v2.0: Putting Sustainability to Work at the Community College"" will examine what sustainability means for the community college today. Collaborative sessions will allow faculty, administrators and staff to ask questions and share best practices on sustainability issues including student engagement, commuting and continuing education in the context of the community college. Nationally recognized experts will also issue new imperatives for action on the grounds of national security, policy innovation, workforce development and ecological health.",Events
Greening of the Campus IX: Building Pedagogy,2011-12-7,"March 18-21, 2012",3/13/2012 1/24/2012 12/13/2011,Ball State University,,http://cms.bsu.edu/Academics/CentersandInstitutes/GOC/2012/overview.aspx,"Hosted by Ball State University (IN), this interdisciplinary conference will provide a platform for people representing diverse areas in university communities to share information on sustainability issues ranging from day-to-day management of physical plants to curriculum development. The conference will focus on common concerns for achieving environmental soundness through the safe and sane management of resources.",Events
'On the Road to Zero Waste' National Higher Education Conference,2012-01-18,"March 18-21, 2012",1/24/2012,,,http://universitysurplus.org/2012-conference.html,"Michigan State University is hosting the 13th Annual University Surplus Property Association conference, themed “On the Road to Zero Waste.” Higher education surplus/reuse managers, operations personnel, waste reduction managers and sustainability directors/managers are encouraged to attend to find out about new trends in the industry and where there might be room for development and improvement. Participants will learn how to build a dynamic program that meets demands and supports ever-changing environmental trends, and learn how recycling programs can increase surplus sales. The early bird registration deadline is Feb. 15, 2012.",Events
Understanding How to Grow Green Jobs Webinar,2012-02-23,"March 22, 2012; 1:00 p.m. Eastern",2/28/2012,,Consortium for Education in Renewable Energy Technology,http://www.ceret.us/webinar/webinar.php,"Sponsored by the Consortium for Education in Renewable Energy Technology, ""Help Your Students and their Employers Understand How to Grow Green Jobs"" will help participants go beyond the standard marketing, sales and business courses to create more success for students and for the businesses where they will work. The webinar will share concepts, learning outcomes and learning activities for incorporating successful green business model curricula.",Events
SSF Webinar: Economic Vitality in a Changing Climate,2012-02-23,"March 22, 2012; 1:15 p.m. Eastern","March 20, 2012 2/28/2012",,Security and Sustainability Forum,https://www1.gotomeeting.com/register/213160720,"The fifth and last in a complimentary Adaptation and National Security monthly webinar series from the Security and Sustainability Forum (SSF), this webinar will address successful local and national approaches to maintaining business continuity and jobs while responding to extreme weather events, energy impacts and threats from other disruptions to national systems. In partnership with AASHE, the event will feature a panel of experts including the ICLEI - Local Governments for Sustainability founder.",Events
NWF Campus Ecology Webinar: LEED on Campus,2012-03-8,"March 22, 2012; 2:00 p.m. Eastern",3/13/2012,National Wildlife Federation,,http://online.nwf.org/site/Calendar?id=105803&view=Detail,"As part of its Greener Campus Conference series, National Wildlife Federation's Campus Ecology program will host the webinar, ""LEED on Campus."" The series invites leading practitioners to speak on conservation and other sustainability topics, with a forum for questions and discussion. This webinar will focus on LEED certification for new and existing buildings, spotlighting Bunker Hill Community College (MA) and the University of California, Santa Barbara.",Events
Global Perspectives on Sustainable Development Conference,2012-03-1,"March 25-26, 2012",3/6/2012,,American Society of Civil Engineers,http://content.asce.org/conferences/triennial/index.html,"Students majoring in engineering, environmental science, policy, international development and related fields are encouraged to attend the American Society of Civil Engineers' triennial conference, Global Perspectives on Sustainable Development. Leaders from the civil engineering and global development communities will gather to address effective water and energy management; inclusive, equitable and sustainable communities; poverty eradication; food security; and public health.",Events
The Spring of Sustainability 2012,2012-03-29,"March 26 - June 22, 2012","April 3, 2012",Sustainable World Coalition,,http://springofsustainability.com/,"Co-produced the Shift Network and Sustainable World Coalition, this three-month series of virtual and live events will feature teleseminar presentations by 100 international ""stars"" of sustainability including Bill McKibben, Julia Butterfly Hill and Van Jones; live events in communities across the globe; and a multi-media sustainability certificate telecourse.",Events
EAUC 16th Annual Higher Education Sustainability Conference,2012-01-19,"March 27-29, 2012",1/24/2012,,,http://www.eauc.org.uk/annual_conference,"Inspired by the Olympic Delivery Authority (ODA), which is working to make the London 2012 Games a showcase for sustainable development, the theme for this year's Environmental Association for Universities and Colleges' (EAUC) 16th Annual Conference is ""Learning Legacy."" Taking place at the University of York (UK), the conference will include workshops, exhibitions, networking and knowledge exchange opportunities that focus on sustainable development in the higher education sector. Keynote speaker Simon Wright, ODA director of utilities and infrastructure, will share ODA's journey toward an Olympic Park that reduces carbon emissions, optimizes energy efficiency and creates open space for biodiversity to flourish. The early bird registration deadline is Feb. 10, 2012.",Events
STARS Webinar: Finalizing a STARS Report in Record Time,2012-03-26,"March 27, 2012; 2:00 p.m. Eastern","March 27, 2012",,AASHE,https://stars.aashe.org/pages/news-events/stars-webinars/2012-stars-webinars.html,"This webinar will highlight institutions that have completed their STARS report in minimal time with maximum benefits. Participants will learn strategies to reduce the amount of time and dollars spent completing a STARS report, while engaging the community and furthering sustainability on their campuses.",Events
Open SEED Forum: Civic Engagement and Policy for Green Jobs,2012-03-22,"March 29, 2012; 1:00 p.m. Eastern","March 27, 2012",American Association of Community Colleges,,https://oakland.adobeconnect.com/_a935999224/aaccgreenpolicycommunity/,"Open to all faculty and staff on campuses, the American Association of Community Colleges (AACC)'s Sustainability Education and Economic Development (SEED) Center has started a Community of Action about policy to grow green jobs. The call will begin with key updates, resources and strategies from policy experts, and will then open up for discussion about examples and specific possibilities for local mobilization.",Events
Student Initiatives in Sustainable Agriculture Conference,2012-02-2,"March 31-April 1, 2012",2/7/2012,,Student Initiatives in Sustainable Agriculture,http://www.sisaconference.org/,"For current and recent higher education students dedicated to sustainable gardening and farming initiatives, this national conference aims to promote the growth of student-run sustainable agriculture projects and encourage continued involvement after college. The event will feature presentations and workshops from students, farmers and entrepreneurs including a keynote address by agricultural agronomist John Ikerd.",Events
2012 Campus Development Summit,2011-10-28,"April 1-3, 2012",11/1/2011,,,http://www.campusdevelopmentsummit.com/,"Senior administrators of facilities planning at colleges and universities are invited to the 2012 Campus Development Summit. Focusing on the opportunities that can be created from the major challenges facing the higher education facilities community, sessions include ""Sustainable and Dynamic Design in Higher Education"" and ""Utilization of Existing Space: Cost-Effective and Sustainable Solutions.""",Events
6th Annual State of Environmental Justice in America Conference,2012-03-15,"April 3-5, 2012","March 20, 2012",,,http://mediasyndicate.com/Article17684.phtml,"Focusing on ""Building the Clean Energy Economy with Equity Revisited,"" this conference will include the first annual STEM Showcase. Students will have an opportunity to interact with educators and current STEM-enrolled students to evaluate academic programs and opportunities in science, technology, engineering and mathematics.",Events
Webinar: Leadership for Sustainability in Higher Education,2012-03-12,"April 11, 2012; 1:00 p.m. Eastern","March 27, 2012 3/13/2012",,Spheres of Influence,http://www.eventbrite.com/event/2600028756?utm_source=eb_email&utm_medium=email&utm_campaign=new_eventv2&utm_term=eventurl_text,"This free Spheres of Influence virtual roundtable discussion, ""A Sea Change III: Leadership for Sustainability in Higher Education: University of Michigan Case Study,"" will feature Don Scavia, special counsel to the University of Michigan president. The conversation will include how leaders can authorize students, staff and faculty to act as change agents. Note: this webinar has been rescheduled from March 21 to April 11 with updated content .",Events
HVAC and Building Technician Credentialing Webinar,2012-03-29,"April 13, 2012; 1:00 p.m. Eastern","April 3, 2012",Laney College,,http://www.doodle.com/3axhv4utcm46wpsh,"Hosted by Laney College (California), this webinar will feature presenters from the Green Building Certification Institute, HVAC Excellence, National Center for Construction Education and Research, North American Technician Excellence and National Resource Center for Aerospace Technical Education who will discuss the benefits and requirements of their certification/credentialing processes, as well as the knowledge, skills and abilities required to operate high-performance buildings.",Events
2012 Smart and Sustainable Campuses Conference,2012-01-26,"April 16-17, 2012",2/14/2012 1/31/2012,,,http://www.sustainability.umd.edu/content/community/sscc.php,"Registration is open for the 2012 Smart and Sustainable Campuses Conference at the University of Maryland. The conference will look at defining, understanding and creating solutions to sustainability issues facing campuses. Conference tracks include: life cycle of the built environment, community connections, the campus as a learning laboratory, fostering behavior change, and strategic implementation. The early bird registration rate ends March 2.",Events
Academic Impressions Webinar: Green Programs for Residence Halls,2012-01-23,"April 17, 2012; 1:00 p.m. Eastern","April 10, 2012 3/13/2012 2/21/2012 1/31/2012",Academic Impressions University of British Columbia,,http://www.academicimpressions.com/webcast/green-programs-residence-halls,"Supported by AASHE, this Academic Impressions webinar will look at the importance of engaging students in the residence halls in a campus-wide sustainability strategy. Representatives at the University of British Columbia will give an overview of the university's ""Green Stars Unit"" initiative, as well as share program ideas and tips for implementing similar programs at higher education institutions.",Events
Webinar: Applying AASHE’s STARS to the Community College,2012-04-4,"April 18, 2012; 1:00 p.m. Eastern","April 17, 2012 April 10, 2012",Johnson County Community College,AASHE,http://blogs.jccc.edu/sustainability/events/webinars/,"Hosted by Johnson County Community College (Kansas), the April installment of the Community College Sustainability Webinar series will provide an overview of what AASHE is learning from the community colleges that are participating in its Sustainability Tracking, Assessment & Rating System (STARS). A representative from Moraine Valley Community College will detail the college's experience going through the STARS process including highlights and challenges.",Events
"AASHE, NWF Webinar: Guide to Creating an Eco-Rep Program",2012-03-26,"April 18, 2012; 2:00 p.m. Eastern","April 17, 2012 April 3, 2012",National Wildlife Federation,AASHE,http://online.nwf.org/site/Calendar?id=105921&view=Detail,"In celebration of the launch of the new ""Student Sustainability Educators: A Guide to Creating and Maintaining an Eco-Rep Program on Your Campus,"" authored by Champlain College (Vermont) Sustainability Director Christina Erickson and co-published by AASHE and the National Wildlife Federation's Campus Ecology program, this webinar will detail the design, implementation and evaluation of student Eco-Rep programs. Erickson will be joined by Eco-Rep staff at institutions including Babson College (Massachusetts), Lehigh University (Pennsylvania) and the University of Pennsylvania.",Events
Strengthening Sustainability Across Disciplines Conference,2012-03-29,"April 20, 2012","April 3, 2012","Washington State University, Vancouver",,http://www.evergreen.edu/washcenter/project.asp?pid=62,"The Washington Center for Improving the Quality of Undergraduate Education's Curriculum for the Bioregion initiative is co-hosting this one-day conference with the Center for Social and Environmental Justice at Washington State University, Vancouver. Targeted to college and university faculty, as well as interested staff, students and community members at any level of experience with sustainability education, ""Strengthening Sustainability across the Disciplines and Across the Pacific Northwest"" will offer timely updates on significant bioregional issues while discussing strategies for integrating sustainability content across the disciplines. The registration deadline is April 11.",Events
Food Systems Education Conference,2012-04-4,"April 20-22, 2012","April 10, 2012",College of the Atlantic,,http://www.coa.edu/foodconnections.htm,"""Food Connections: Reconnecting Hands, Mouth & Mind through Food Systems Education"" will explore what people need to know to transform food systems and how these subjects can be best learned. Hosted by the College of the Atlantic (Maine), the conference will feature workshop topics including new distribution methods and food businesses, policies that favor small organic farms and independent fishing livelihoods, ways of getting more sustainable food to campuses, cultural connections with foodways, and advocacy for food justice and sovereignty.",Events
AACC Annual Convention,2012-02-8,"April 21-24, 2012",2/14/2012,,,http://www.aacc.nche.edu/newsevents/Events/convention2/Pages/default.aspx,"""A Green Campus"" and ""Building an Engaged Citizenry"" are a couple of sustainability topics that will be covered at the 92nd American Association of Community Colleges (AACC) Convention. This year's gathering of community college presidents and senior administrators, international educators, representatives of business/industry and federal agencies is themed ""Igniting Innovation.""",Events
STARS Webinar: Best Practices from the Curriculum Subcategory,2012-04-13,"April 24, 2012; 2:00 p.m. Eastern","April 24, 2012 April 17, 2012",,AASHE,https://stars.aashe.org/pages/news-events/stars-webinars/2012-stars-webinars.html#curriculum_subcategory,"This webinar will highlight case studies from STARS participants that illustrate best practices for approaching credits in the Curriculum subcategory including ER 5: Sustainability Course Inventory, ER 6: Sustainability-Focused Courses, and ER 7: Sustainability-Related Courses.",Events
Public and Land-Grant University Energy Challenges Conference,2012-04-4,"April 29 - May 1, 2012","April 10, 2012","Colorado State University Ohio State University, The",Association for Public and Land-grant Universities,http://energyinnovation2012.osu.edu/conference-agenda/agenda,"Sponsored by the Ohio State University, Colorado State University and the Association for Public and Land-Grant Universities, this event will bring together public university, industry and government leaders from around the country to examine the role of public and land-grant universities in leading the technology, understanding and public education of advanced energy options.",Events
Uppsala Future of Education and Sustainability Conference,2012-04-18,"May 3-5, 2012","April 24, 2012",,Uppsala Centre for Sustainable Development,http://uppsalaconference.se/,"Hosted by the Uppsala Centre for Sustainable Development, this free conference will explore how higher education and research could be shaped in a time of crisis; ways forward in an era of declining resources; and what role students and academia can and should have when addressing challenges of today and tomorrow. In addition to climate activism keynotes and workshops, participants will have the opportunity to join a hands-on street art and activism graffiti workshop.",Events
Teaching Climate Complexity Workshop,2012-03-1,"May 7-16, 2012",3/6/2012,,Climate Literacy and Energy Awareness Network,http://cleanet.org/clean/community/workshops/climate2012/index.html,"This Climate Literacy and Energy Awareness Network workshop is designed to help faculty expand their knowledge of the climate system and gain pedagogic strategies for effective teaching of complex topics. Held online via web conference, web collaboration tools, online discussions and conference calls, this workshop will include presentations about the climate system and examples of successful activities that illustrate the interactions between components of the climate system. The deadline to apply is March 31.",Events
Call: SEED Center Community of Action for Clean Energy Policy,2012-04-27,"May 9, 2012; 1:00 p.m. Eastern","May 1, 2012",American Association of Community Colleges,,http://theseedcenter.org/Special-Pages/Community-of-Action--Policies-for-Green-Jobs,"The American Association of Community Colleges' Sustainability Education and Economic Development (SEED) Center is hosting this call to detail its Community of Action for Policy, geared for both community colleges and related stakeholders in the  clean energy arena. Featuring national clean energy and green policy expert Ashok Gupta, the call will explore ways to create exponential growth within the green jobs sector. Faculty, staff for student groups and student activities, and community stakeholders are encouraged to attend.",Events
CURC Recycling Webinar: Campus and Community Outreach,2012-04-12,"May 10, 2012; 1:00 p.m. Eastern","May 1, 2012 April 17, 2012",,College & University Recycling Coalition,https://www1.gotomeeting.com/register/604794105,"""Recycling Education and Awareness: Tools, Tips and Ideas for Campus and Community Outreach,"" hosted by the College & University Recycling Coalition (CURC) and co-sponsored by AASHE, will cover tools and communications strategies specific to college campuses. Participants will learn how to increase program visibility through national events including Recyclemania; maximize reach through collaborations with campus-based and community organizations; and effectively utilize social media and other free communications tools.",Events
"AASHE, SSF Webinar: Collaborating to Further Rio +20 Goals",2012-04-13,"May 10, 2012; 1:15 p.m. Eastern","May 1, 2012 April 17, 2012",,"AASHE, Security and Sustainability Forum",https://www1.gotomeeting.com/register/209023000,"Co-produced by AASHE, this webinar is the first in the Security and Sustainability Forum's ""Run up to Rio +20"" webinar series. AASHE's Executive Director Paul Rowland will host a panel of academic and industry thought leaders in a discussion about existing sustainability initiatives and collaborative efforts, and how they can be augmented to help meet the goals being established at the United Nations Rio +20 Summit.",Events
SEI Financing the Future of Energy Efficiency Summit,2012-03-20,"May 15, 2012","May 1, 2012 April 24, 2012",Sustainable Endowments Institute,,http://greenbillion.org/conference/,"Hosted by the Sustainable Endowments Institute's Billion Dollar Green Challenge in partnership with AASHE, this summit will bring together university and foundation presidents, trustees, senior administrators and sustainability directors from across the country. Themed ""Transforming Energy Efficiency Upgrades from Expenses to High Return Investments,"" the event will focus on higher education institutions as pivotal points to reduce greenhouse gas emissions and demonstrate the budget benefits of green revolving funds.",Events
Green Laboratory Building Systems Workshop,2012-03-22,"May 15-18, 2012","March 27, 2012",University of Wisconsin-Madison,,http://epdweb.engr.wisc.edu/Courses/Course.lasso?myCourseChoice=N116,"Sponsored by the University of Wisconsin-Madison's Department of Engineering Professional Development, this workshop will provide the latest information on selection, operation and maintenance for laboratory building MEP (mechanical/HVAC, electrical and plumbing) systems and controls.",Events
Health-Wellness Sustainability Nexus Webinar,2012-05-3,"May 16, 2012; 1:00 p.m. Eastern","May 8, 2012",,Spheres of Influence,http://www.eventbrite.com/event/3181366553?utm_source=eb_email&utm_medium=email&utm_campaign=new_eventv2&utm_term=eventurl_text,"Featuring Cynthia Klein-Banai, associate chancellor for sustainability at the University of Illinois at Chicago, this Spheres of Influence webinar will explore the interface between health, wellness and sustainability, using the University of Illinois at Chicago as a case study.",Events
Prescott College Sustainability Education Symposium,2012-04-18,"May 17-19, 2012","April 24, 2012",Prescott College,,http://www.prescott.edu/experience/news/actual-phd-symposium-2012.html,"Sponsored by Prescott College’s sustainability education Ph.D. program, this free symposium will focus on sustainability and its connection with education throughout our society. Keynotes include Dr. Mitchell Thomashow, director of Second Nature’s Presidential Fellows Program, and chef and food justice activist Bryant Terry.",Events
U Colorado Boulder Community-Based Social Marketing Workshop,2012-01-25,"May 21-23, 2012",1/31/2012,,,http://sustainable.colorado.edu/index.php?option=com_content&view=article&id=102,"This three-day workshop series, hosted by the University of Colorado Boulder, will provide training on how to incorporate scientific knowledge regarding behavior change into the design and delivery of community programs. Those who design and/or fund programs to inspire sustainability-based behaviors and those involved in sustainability education are encouraged to attend this event, led by Dr. Doug McKenzie-Mohr, author of three books on community-based social marketing.",Events
International Higher Education Congress,2012-02-28,"May 29 - June 3, 2012",3/6/2012,,,http://www.wcupa.edu/KnowledgeCrossingBorders/default.asp,"Presented by West Chester University (PA) and the Universidad Nacional (Costa Rica), this year's International Higher Education Congress will explore best practices in technology, science and sustainability within a global higher education. Themed ""Knowledge Crossing Borders: Building a Global Future through Research and Innovative Practices,"" the conference will address the research, pedagogical, outreach and administrative functions of higher education institutions.",Events
STARS Webinar: What the New AASHE Brand Means for STARS,2012-05-17,"May 29, 2012; 2:00 p.m. Eastern","May 22, 2012",,AASHE,https://stars.aashe.org/pages/news-events/stars-webinars/2012-stars-webinars.html#brand,"This webinar will share the details of AASHE's branding process, from concept to implementation, and how the new brand will affect STARS institutions. After taking a close look at how AASHE functions, the purpose it serves, and the best way to communicate who AASHE is to the higher education community and beyond, AASHE will soon unveil a new brand and visual identity.",Events
Lucid Design Group Power Purchase Agreements Webinar,2012-05-10,"May 30, 2012; 12:00 p.m. Eastern","May 15, 2012",Lucid,,https://www1.gotomeeting.com/register/444679705,"The director of sustainability at American University will share the university's experience with a recently-finished large solar power purchase agreement (PPA) project during this webinar, which will explore the benefits and challenges of PPAs. Panelists will look at the common structures of PPAs; when it makes sense to implement a PPA project; what is important in selecting a PPA partner; and common PPA pitfalls.",Events
Transcending Sustainability Conference,2012-05-16,"May 31 - June 3, 2012","May 22, 2012",,The New Academy,http://www.newacademyforsustainability.org/,"This inaugural event of the New Academy, which is working to help people meet the challenges of sustainability, will go beyond the approaches of substitution and efficiency to explore a radical redesign for regeneration and renewal of human and natural resources. Participants will help design a future annual summer education program that will tackle these ""deep sustainability"" concepts.",Events
2012 United Nations Conference on Sustainable Development,2011-08-16,"June 4-6, 2012","May 8, 2012 March 27, 2012 12/20/2011 8/23/2011 August 2011 Global Edition",,,http://www.uncsd2012.org/rio20/,"The 2012 United Nations Conference on Sustainable Development is the third in a series of sustainable development meetings, summits and negotiations organized by the United Nations and its member countries over the last 20 years. The first negotiation, also called the Earth Summit and held in Rio de Janeiro, spawned several international environmental agreements like the climate change, biodiversity and desertification conventions. Rio+20 is a Worldwatch Institute project designed to leverage the 2012 conference to advance the prospects for clear commitments to sustainable economies on the part of governments, businesses and civil society organizations worldwide. The conference will focus on the green economy in the context of sustainable development and poverty eradication, and institutional framework for sustainable development.",Events
AASHE Workshop for Integrating Sustainability in Education,2012-04-4,"June 4-6, 2012","May 8, 2012 May 1, 2012 April 24, 2012 April 10, 2012",,AASHE,http://www.aashe.org/events/workshops/wise,"This three-day workshop will allow academic faculty to explore how they can meaningfully integrate sustainability into their classrooms. The workshop will include faculty (participant) discussion groups, resource experts, case studies, examples of best practice, and a particular focus on the importance of student learning for sustainability. The registration deadline is May 15.",Events
Town & Gown Partnerships Conference,2012-04-12,"June 4-8, 2012","April 17, 2012",Berea College Eastern Kentucky University,,http://www.itgau.org/2012conference,"Hosted by Eastern Kentucky University and the City of Richmond in partnership with Berea College, ""Town and Gown Partnerships for the Present and Future"" will feature presentations and open discussions about topics including economic development, urban planning, city/university planning, community relations, student affairs, education, bioenergy, and arts and culture.",Events
Academic Impressions Webinar: Creating a Bike-Friendly Campus Culture,2012-01-23,"June 6, 2012; 1:00 p.m. Eastern","May 15, 2012 April 3, 2012 3/6/2012 2/7/2012",,,http://www.academicimpressions.com/webcast/creating-bike-friendly-campus-culture,"Best for those institutions that are still in the foundational stages of developing a campus-wide alternative transportation strategy, this Academic Impressions webinar will take a step-by-step approach to creating a bike-friendly culture on any campus using Duke University (NC) as an example. Supported by AASHE, this event will start with basic initiatives including bike racks, bike storage rooms and bike maps, and move into deeper investments like developing effective town/gown relationships.",Events
AACSB International Sustainability in Business Schools Conference,2012-03-27,"June 11-13, 2012","April 3, 2012",,Association to Advance Collegiate Schools of Business,http://www.aacsb.edu/sustainability/,"This Association to Advance Collegiate Schools of Business (AACSB) conference will explore sustainability efforts on business school campuses, and how certain businesses are working to serve local and global communities. Participants will discuss how to lead sustainability efforts at their institutions with a diverse group of experts and educators.",Events
Date Change: Creating a Bike-Friendly Campus Culture Webinar,2012-05-17,"June 11, 2012; 1:00 p.m. Eastern","May 22, 2012",Academic Impressions,,http://www.academicimpressions.com/webcast/creating-bike-friendly-campus-culture,"This Academic Impressions webinar has been changed from June 6 to June 11. Best for those institutions that are still in the foundational stages of developing a campus-wide alternative transportation strategy, this event will take a step-by-step approach to creating a bike-friendly culture on any campus. Supported by AASHE, the webinar will start with basic initiatives including bike racks, bike storage rooms and bike maps, and move into deeper investments like developing effective town/gown relationships.",Events
AASHE Sustainability and Curriculum Design Workshop,2012-05-3,"June 12-14, 2012","May 29, 2012 May 15, 2012",,,http://www.cvent.com/events/sustainability-and-curriculum-design-workshop/event-summary-6f19a25b70084b61a52477be116bb8b4.aspx,"This intensive workshop will allow participants to creatively engage with sustainability and each other in their roles as educators, curriculum designers and mentors. Through a highly collaborative process, participants from multiple disciplines will learn to use the campus as a learning platform, bridging the breadth and complexity of sustainability with learning goals and pedagogical practices. The deadline to register is June 4.",Events
UMACS Sustainability Across the Curriculum Workshop,2012-05-17,"June 13-14, 2012","May 22, 2012",St. Olaf College,,http://www.umacs.org/,"The Upper Midwest Association for Campus Sustainability (UMACS) is partnering with St. Olaf College (Minnesota) to offer this workshop that will invite faculty to re-think courses and provide guidance on organizing faculty workshops on individual campuses. The workshop will be facilitated by an interdisciplinary team of faculty including Jim Farrell, author of ""The Nature of College: How a New Understanding of Campus Life Can Change the World.""",Events
